structure,structure_id,structure_name,freq,time_frequency,isco08,international_standard_classification_of_occupations_2008_isco_08,unit,unit_of_measure,geo,geopolitical_entity_reporting,time_period,time,obs_value,observation_value,obs_flag,observation_status_flag_v2_structure,conf_status,confidentiality_status_flag
dataflow,ESTAT:ISOC_SK_OJA2(1.0),Distribution by occupation (ISCO-08) of the labour market demand for ICT specialists in online job advertisements - experimental statistics,Q,Quarterly,OC133,Information and communications technology service managers,PC,Percentage,AT,Austria,2019-Q4,,2.5,,,,,
dataflow,ESTAT:ISOC_SK_OJA2(1.0),Distribution by occupation (ISCO-08) of the labour market demand for ICT specialists in online job advertisements - experimental statistics,Q,Quarterly,OC133,Information and communications technology service managers,PC,Percentage,AT,Austria,2020-Q1,,2.5,,,,,
dataflow,ESTAT:ISOC_SK_OJA2(1.0),Distribution by occupation (ISCO-08) of the labour market demand for ICT specialists in online job advertisements - experimental statistics,Q,Quarterly,OC133,Information and communications technology service managers,PC,Percentage,AT,Austria,2020-Q2,,2.4,,,,,
dataflow,ESTAT:ISOC_SK_OJA2(1.0),Distribution by occupation (ISCO-08) of the labour market demand for ICT specialists in online job advertisements - experimental statistics,Q,Quarterly,OC133,Information and communications technology service managers,PC,Percentage,AT,Austria,2020-Q3,,2.2,,,,,
dataflow,ESTAT:ISOC_SK_OJA2(1.0),Distribution by occupation (ISCO-08) of the labour market demand for ICT specialists in online job advertisements - experimental statistics,Q,Quarterly,OC133,Information and communications technology service managers,PC,Percentage,AT,Austria,2020-Q4,,2.2,,,,,
dataflow,ESTAT:ISOC_SK_OJA2(1.0),Distribution by occupation (ISCO-08) of the labour market demand for ICT specialists in online job advertisements - experimental statistics,Q,Quarterly,OC133,Information and communications technology service managers,PC,Percentage,AT,Austria,2021-Q1,,2.0,,,,,
dataflow,ESTAT:ISOC_SK_OJA2(1.0),Distribution by occupation (ISCO-08) of the labour market demand for ICT specialists in online job advertisements - experimental statistics,Q,Quarterly,OC133,Information and communications technology service managers,PC,Percentage,AT,Austria,2021-Q2,,2.0,,,,,
dataflow,ESTAT:ISOC_SK_OJA2(1.0),Distribution by occupation (ISCO-08) of the labour market demand for ICT specialists in online job advertisements - experimental statistics,Q,Quarterly,OC133,Information and communications technology service managers,PC,Percentage,AT,Austria,2021-Q3,,2.0,,,,,
dataflow,ESTAT:ISOC_SK_OJA2(1.0),Distribution by occupation (ISCO-08) of the labour market demand for ICT specialists in online job advertisements - experimental statistics,Q,Quarterly,OC133,Information and communications technology service managers,PC,Percentage,AT,Austria,2021-Q4,,1.9,,,,,
dataflow,ESTAT:ISOC_SK_OJA2(1.0),Distribution by occupation (ISCO-08) of the labour market demand for ICT specialists in online job advertisements - experimental statistics,Q,Quarterly,OC133,Information and communications technology service managers,PC,Percentage,AT,Austria,2022-Q1,,2.1,,,,,
dataflow,ESTAT:ISOC_SK_OJA2(1.0),Distribution by occupation (ISCO-08) of the labour market demand for ICT specialists in online job advertisements - experimental statistics,Q,Quarterly,OC133,Information and communications technology service managers,PC,Percentage,AT,Austria,2022-Q2,,2.2,,,,,
dataflow,ESTAT:ISOC_SK_OJA2(1.0),Distribution by occupation (ISCO-08) of the labour market demand for ICT specialists in online job advertisements - experimental statistics,Q,Quarterly,OC133,Information and communications technology service managers,PC,Percentage,AT,Austria,2022-Q3,,2.3,,,,,
