structure,structure_id,structure_name,freq,time_frequency,unit,unit_of_measure,sex,sex_1,geo,geopolitical_entity_reporting,time_period,time,obs_value,observation_value,obs_flag,observation_status_flag_v2_structure,conf_status,confidentiality_status_flag
dataflow,ESTAT:ISOC_SKS_ITSPS(1.0),Employed ICT specialists by sex,A,Annual,PC,Percentage,F,Females,AT,Austria,2004,,22.1,,be,"break in time series, estimated",,
dataflow,ESTAT:ISOC_SKS_ITSPS(1.0),Employed ICT specialists by sex,A,Annual,PC,Percentage,F,Females,AT,Austria,2005,,20.0,,be,"break in time series, estimated",,
dataflow,ESTAT:ISOC_SKS_ITSPS(1.0),Employed ICT specialists by sex,A,Annual,PC,Percentage,F,Females,AT,Austria,2006,,19.7,,e,estimated,,
dataflow,ESTAT:ISOC_SKS_ITSPS(1.0),Employed ICT specialists by sex,A,Annual,PC,Percentage,F,Females,AT,Austria,2007,,20.9,,be,"break in time series, estimated",,
dataflow,ESTAT:ISOC_SKS_ITSPS(1.0),Employed ICT specialists by sex,A,Annual,PC,Percentage,F,Females,AT,Austria,2008,,17.6,,e,estimated,,
dataflow,ESTAT:ISOC_SKS_ITSPS(1.0),Employed ICT specialists by sex,A,Annual,PC,Percentage,F,Females,AT,Austria,2009,,18.8,,e,estimated,,
dataflow,ESTAT:ISOC_SKS_ITSPS(1.0),Employed ICT specialists by sex,A,Annual,PC,Percentage,F,Females,AT,Austria,2010,,19.1,,e,estimated,,
dataflow,ESTAT:ISOC_SKS_ITSPS(1.0),Employed ICT specialists by sex,A,Annual,PC,Percentage,F,Females,AT,Austria,2011,,13.2,,b,break in time series,,
dataflow,ESTAT:ISOC_SKS_ITSPS(1.0),Employed ICT specialists by sex,A,Annual,PC,Percentage,F,Females,AT,Austria,2012,,16.8,,e,estimated,,
dataflow,ESTAT:ISOC_SKS_ITSPS(1.0),Employed ICT specialists by sex,A,Annual,PC,Percentage,F,Females,AT,Austria,2013,,14.2,,e,estimated,,
dataflow,ESTAT:ISOC_SKS_ITSPS(1.0),Employed ICT specialists by sex,A,Annual,PC,Percentage,F,Females,AT,Austria,2014,,13.4,,e,estimated,,
dataflow,ESTAT:ISOC_SKS_ITSPS(1.0),Employed ICT specialists by sex,A,Annual,PC,Percentage,F,Females,AT,Austria,2015,,14.3,,e,estimated,,
dataflow,ESTAT:ISOC_SKS_ITSPS(1.0),Employed ICT specialists by sex,A,Annual,PC,Percentage,F,Females,AT,Austria,2016,,17.1,,,,,
dataflow,ESTAT:ISOC_SKS_ITSPS(1.0),Employed ICT specialists by sex,A,Annual,PC,Percentage,F,Females,AT,Austria,2017,,15.7,,e,estimated,,
dataflow,ESTAT:ISOC_SKS_ITSPS(1.0),Employed ICT specialists by sex,A,Annual,PC,Percentage,F,Females,AT,Austria,2018,,18.4,,,,,
dataflow,ESTAT:ISOC_SKS_ITSPS(1.0),Employed ICT specialists by sex,A,Annual,PC,Percentage,F,Females,AT,Austria,2019,,20.4,,,,,
dataflow,ESTAT:ISOC_SKS_ITSPS(1.0),Employed ICT specialists by sex,A,Annual,PC,Percentage,F,Females,AT,Austria,2020,,20.3,,,,,
dataflow,ESTAT:ISOC_SKS_ITSPS(1.0),Employed ICT specialists by sex,A,Annual,PC,Percentage,F,Females,AT,Austria,2021,,19.0,,b,break in time series,,
dataflow,ESTAT:ISOC_SKS_ITSPS(1.0),Employed ICT specialists by sex,A,Annual,PC,Percentage,F,Females,AT,Austria,2022,,19.3,,,,,
dataflow,ESTAT:ISOC_SKS_ITSPS(1.0),Employed ICT specialists by sex,A,Annual,PC,Percentage,F,Females,AT,Austria,2023,,19.5,,,,,
dataflow,ESTAT:ISOC_SKS_ITSPS(1.0),Employed ICT specialists by sex,A,Annual,PC,Percentage,F,Females,AT,Austria,2024,,21.1,,e,estimated,,
