geo,time_period,obs_value
AUSTRIA,2004,2.9
AUSTRIA,2005,3.1
AUSTRIA,2006,3.3
AUSTRIA,2007,3.3
AUSTRIA,2008,3.3
AUSTRIA,2009,3.5
AUSTRIA,2010,3.5
AUSTRIA,2011,3.6
AUSTRIA,2012,3.6
AUSTRIA,2013,3.7
AUSTRIA,2014,3.6
AUSTRIA,2015,4.0
AUSTRIA,2016,4.2
AUSTRIA,2017,4.4
AUSTRIA,2018,4.5
AUSTRIA,2019,4.3
AUSTRIA,2020,4.5
AUSTRIA,2021,4.5
AUSTRIA,2022,5.0
AUSTRIA,2023,5.3
AUSTRIA,2024,5.3
BOSNIA AND HERZEGOVINA,2021,1.5
BOSNIA AND HERZEGOVINA,2022,1.6
BOSNIA AND HERZEGOVINA,2023,2.0
BOSNIA AND HERZEGOVINA,2024,2.3
BELGIUM,2004,3.4
BELGIUM,2005,3.5
BELGIUM,2006,3.7
BELGIUM,2007,4.1
BELGIUM,2008,3.9
BELGIUM,2009,4.1
BELGIUM,2010,4.4
BELGIUM,2011,4.0
BELGIUM,2012,4.3
BELGIUM,2013,4.2
BELGIUM,2014,4.2
BELGIUM,2015,4.2
BELGIUM,2016,4.2
BELGIUM,2017,4.9
BELGIUM,2018,5.2
BELGIUM,2019,5.0
BELGIUM,2020,5.0
BELGIUM,2021,5.6
BELGIUM,2022,5.6
BELGIUM,2023,5.4
BELGIUM,2024,5.7
BULGARIA,2004,2.2
BULGARIA,2005,2.2
BULGARIA,2006,2.4
BULGARIA,2007,2.4
BULGARIA,2008,2.4
BULGARIA,2009,2.4
BULGARIA,2010,2.5
BULGARIA,2011,2.2
BULGARIA,2012,2.5
BULGARIA,2013,2.5
BULGARIA,2014,2.5
BULGARIA,2015,2.9
BULGARIA,2016,3.0
BULGARIA,2017,3.1
BULGARIA,2018,3.3
BULGARIA,2019,3.0
BULGARIA,2020,3.3
BULGARIA,2021,3.5
BULGARIA,2022,3.8
BULGARIA,2023,4.3
BULGARIA,2024,4.6
SWITZERLAND,2011,4.3
SWITZERLAND,2012,4.7
SWITZERLAND,2013,4.8
SWITZERLAND,2014,4.8
SWITZERLAND,2015,4.8
SWITZERLAND,2016,5.0
SWITZERLAND,2017,4.8
SWITZERLAND,2018,5.0
SWITZERLAND,2019,5.5
SWITZERLAND,2020,5.4
SWITZERLAND,2021,5.5
SWITZERLAND,2022,5.7
SWITZERLAND,2023,5.7
SWITZERLAND,2024,5.7
CYPRUS,2004,2.2
CYPRUS,2005,2.3
CYPRUS,2006,2.3
CYPRUS,2007,2.6
CYPRUS,2008,2.6
CYPRUS,2009,2.4
CYPRUS,2010,2.5
CYPRUS,2011,2.5
CYPRUS,2012,2.6
CYPRUS,2013,2.8
CYPRUS,2014,2.8
CYPRUS,2015,2.7
CYPRUS,2016,2.7
CYPRUS,2017,2.9
CYPRUS,2018,3.2
CYPRUS,2019,2.7
CYPRUS,2020,3.2
CYPRUS,2021,3.9
CYPRUS,2022,4.4
CYPRUS,2023,5.6
CYPRUS,2024,5.0
CZECHIA,2004,3.4
CZECHIA,2005,3.7
CZECHIA,2006,3.9
CZECHIA,2007,4.3
CZECHIA,2008,4.6
CZECHIA,2009,4.6
CZECHIA,2010,4.6
CZECHIA,2011,3.5
CZECHIA,2012,3.4
CZECHIA,2013,3.7
CZECHIA,2014,3.7
CZECHIA,2015,3.5
CZECHIA,2016,3.7
CZECHIA,2017,3.6
CZECHIA,2018,4.0
CZECHIA,2019,4.0
CZECHIA,2020,4.2
CZECHIA,2021,4.6
CZECHIA,2022,4.5
CZECHIA,2023,4.3
CZECHIA,2024,4.5
GERMANY,2004,3.3
GERMANY,2005,3.6
GERMANY,2006,3.6
GERMANY,2007,3.6
GERMANY,2008,3.6
GERMANY,2009,3.7
GERMANY,2010,3.9
GERMANY,2011,3.1
GERMANY,2012,3.5
GERMANY,2013,3.5
GERMANY,2014,3.6
GERMANY,2015,3.7
GERMANY,2016,3.7
GERMANY,2017,3.8
GERMANY,2018,3.9
GERMANY,2019,4.0
GERMANY,2020,4.7
GERMANY,2021,4.9
GERMANY,2022,5.0
GERMANY,2023,4.9
GERMANY,2024,5.3
DENMARK,2004,4.3
DENMARK,2005,4.1
DENMARK,2006,4.5
DENMARK,2007,4.5
DENMARK,2008,4.8
DENMARK,2009,4.7
DENMARK,2010,4.8
DENMARK,2011,4.3
DENMARK,2012,4.7
DENMARK,2013,4.8
DENMARK,2014,4.6
DENMARK,2015,4.5
DENMARK,2016,4.9
DENMARK,2017,5.0
DENMARK,2018,4.9
DENMARK,2019,5.1
DENMARK,2020,5.3
DENMARK,2021,5.6
DENMARK,2022,5.7
DENMARK,2023,5.9
DENMARK,2024,5.8
ESTONIA,2004,3.2
ESTONIA,2005,2.5
ESTONIA,2006,2.9
ESTONIA,2007,3.4
ESTONIA,2008,3.7
ESTONIA,2009,3.8
ESTONIA,2010,4.1
ESTONIA,2011,3.4
ESTONIA,2012,3.8
ESTONIA,2013,4.1
ESTONIA,2014,3.9
ESTONIA,2015,4.2
ESTONIA,2016,5.1
ESTONIA,2017,5.3
ESTONIA,2018,5.4
ESTONIA,2019,5.8
ESTONIA,2020,6.2
ESTONIA,2021,6.2
ESTONIA,2022,6.6
ESTONIA,2023,6.7
ESTONIA,2024,7.2
GREECE,2004,2.8
GREECE,2005,2.8
GREECE,2006,2.8
GREECE,2007,2.8
GREECE,2008,2.8
GREECE,2009,2.8
GREECE,2010,2.9
GREECE,2011,1.8
GREECE,2012,1.9
GREECE,2013,2.0
GREECE,2014,1.7
GREECE,2015,1.6
GREECE,2016,1.8
GREECE,2017,2.0
GREECE,2018,2.2
GREECE,2019,2.0
GREECE,2020,2.0
GREECE,2021,2.4
GREECE,2022,2.5
GREECE,2023,2.4
GREECE,2024,2.5
SPAIN,2004,2.8
SPAIN,2005,2.9
SPAIN,2006,3.0
SPAIN,2007,3.1
SPAIN,2008,3.1
SPAIN,2009,3.2
SPAIN,2010,3.4
SPAIN,2011,3.1
SPAIN,2012,3.2
SPAIN,2013,3.3
SPAIN,2014,3.2
SPAIN,2015,3.2
SPAIN,2016,3.4
SPAIN,2017,3.5
SPAIN,2018,3.6
SPAIN,2019,3.7
SPAIN,2020,3.9
SPAIN,2021,4.1
SPAIN,2022,4.3
SPAIN,2023,4.4
SPAIN,2024,4.7
EUROPEAN UNION - 27 COUNTRIES (FROM 2020),2004,3.1
EUROPEAN UNION - 27 COUNTRIES (FROM 2020),2005,3.3
EUROPEAN UNION - 27 COUNTRIES (FROM 2020),2006,3.4
EUROPEAN UNION - 27 COUNTRIES (FROM 2020),2007,3.4
EUROPEAN UNION - 27 COUNTRIES (FROM 2020),2008,3.5
EUROPEAN UNION - 27 COUNTRIES (FROM 2020),2009,3.6
EUROPEAN UNION - 27 COUNTRIES (FROM 2020),2010,3.6
EUROPEAN UNION - 27 COUNTRIES (FROM 2020),2011,3.0
EUROPEAN UNION - 27 COUNTRIES (FROM 2020),2012,3.2
EUROPEAN UNION - 27 COUNTRIES (FROM 2020),2013,3.3
EUROPEAN UNION - 27 COUNTRIES (FROM 2020),2014,3.4
EUROPEAN UNION - 27 COUNTRIES (FROM 2020),2015,3.5
EUROPEAN UNION - 27 COUNTRIES (FROM 2020),2016,3.6
EUROPEAN UNION - 27 COUNTRIES (FROM 2020),2017,3.7
EUROPEAN UNION - 27 COUNTRIES (FROM 2020),2018,3.8
EUROPEAN UNION - 27 COUNTRIES (FROM 2020),2019,4.0
EUROPEAN UNION - 27 COUNTRIES (FROM 2020),2020,4.3
EUROPEAN UNION - 27 COUNTRIES (FROM 2020),2021,4.5
EUROPEAN UNION - 27 COUNTRIES (FROM 2020),2022,4.6
EUROPEAN UNION - 27 COUNTRIES (FROM 2020),2023,4.8
EUROPEAN UNION - 27 COUNTRIES (FROM 2020),2024,5.0
FINLAND,2004,5.2
FINLAND,2005,5.4
FINLAND,2006,5.5
FINLAND,2007,5.6
FINLAND,2008,5.5
FINLAND,2009,5.5
FINLAND,2010,5.7
FINLAND,2011,5.7
FINLAND,2012,6.1
FINLAND,2013,6.3
FINLAND,2014,6.3
FINLAND,2015,6.4
FINLAND,2016,6.6
FINLAND,2017,6.7
FINLAND,2018,6.7
FINLAND,2019,6.8
FINLAND,2020,7.6
FINLAND,2021,7.4
FINLAND,2022,7.6
FINLAND,2023,7.6
FINLAND,2024,7.8
FRANCE,2004,4.0
FRANCE,2005,4.0
FRANCE,2006,4.2
FRANCE,2007,3.9
FRANCE,2008,3.9
FRANCE,2009,4.1
FRANCE,2010,4.1
FRANCE,2011,2.7
FRANCE,2012,2.7
FRANCE,2013,3.0
FRANCE,2014,3.2
FRANCE,2015,3.4
FRANCE,2016,3.6
FRANCE,2017,3.8
FRANCE,2018,3.9
FRANCE,2019,4.2
FRANCE,2020,4.5
FRANCE,2021,4.5
FRANCE,2022,4.3
FRANCE,2023,4.7
FRANCE,2024,4.8
CROATIA,2004,1.6
CROATIA,2005,1.9
CROATIA,2006,2.0
CROATIA,2007,2.1
CROATIA,2008,2.3
CROATIA,2009,2.3
CROATIA,2010,2.2
CROATIA,2011,2.4
CROATIA,2012,2.5
CROATIA,2013,2.6
CROATIA,2014,2.8
CROATIA,2015,2.8
CROATIA,2016,3.4
CROATIA,2017,3.3
CROATIA,2018,3.4
CROATIA,2019,3.3
CROATIA,2020,3.7
CROATIA,2021,3.7
CROATIA,2022,3.8
CROATIA,2023,4.3
CROATIA,2024,5.0
HUNGARY,2004,4.4
HUNGARY,2005,4.2
HUNGARY,2006,4.3
HUNGARY,2007,4.3
HUNGARY,2008,4.4
HUNGARY,2009,4.2
HUNGARY,2010,4.3
HUNGARY,2011,2.7
HUNGARY,2012,3.2
HUNGARY,2013,3.5
HUNGARY,2014,3.5
HUNGARY,2015,3.6
HUNGARY,2016,3.6
HUNGARY,2017,3.6
HUNGARY,2018,3.7
HUNGARY,2019,3.4
HUNGARY,2020,3.8
HUNGARY,2021,3.9
HUNGARY,2022,4.2
HUNGARY,2023,4.2
HUNGARY,2024,4.5
IRELAND,2004,3.7
IRELAND,2005,3.5
IRELAND,2006,3.4
IRELAND,2007,3.5
IRELAND,2008,3.5
IRELAND,2009,3.8
IRELAND,2010,4.0
IRELAND,2011,4.7
IRELAND,2012,4.8
IRELAND,2013,4.7
IRELAND,2014,4.8
IRELAND,2015,4.6
IRELAND,2016,4.9
IRELAND,2017,5.0
IRELAND,2018,4.8
IRELAND,2019,4.9
IRELAND,2020,5.7
IRELAND,2021,6.3
IRELAND,2022,6.3
IRELAND,2023,6.2
IRELAND,2024,6.3
ICELAND,2011,3.7
ICELAND,2012,3.4
ICELAND,2013,3.9
ICELAND,2014,4.1
ICELAND,2015,4.4
ICELAND,2016,4.5
ICELAND,2017,4.7
ICELAND,2018,4.3
ICELAND,2019,4.3
ICELAND,2020,4.7
ICELAND,2021,4.0
ICELAND,2022,4.2
ICELAND,2023,4.5
ICELAND,2024,4.2
ITALY,2004,2.9
ITALY,2005,3.0
ITALY,2006,3.1
ITALY,2007,3.1
ITALY,2008,3.1
ITALY,2009,3.2
ITALY,2010,3.2
ITALY,2011,3.0
ITALY,2012,3.1
ITALY,2013,3.2
ITALY,2014,3.3
ITALY,2015,3.3
ITALY,2016,3.3
ITALY,2017,3.4
ITALY,2018,3.6
ITALY,2019,3.5
ITALY,2020,3.6
ITALY,2021,3.8
ITALY,2022,3.9
ITALY,2023,4.1
ITALY,2024,4.0
LITHUANIA,2004,1.8
LITHUANIA,2005,1.6
LITHUANIA,2006,1.4
LITHUANIA,2007,1.7
LITHUANIA,2008,1.9
LITHUANIA,2009,1.8
LITHUANIA,2010,1.8
LITHUANIA,2011,1.8
LITHUANIA,2012,1.9
LITHUANIA,2013,1.8
LITHUANIA,2014,1.7
LITHUANIA,2015,2.1
LITHUANIA,2016,2.5
LITHUANIA,2017,2.7
LITHUANIA,2018,2.7
LITHUANIA,2019,3.1
LITHUANIA,2020,3.3
LITHUANIA,2021,3.8
LITHUANIA,2022,4.4
LITHUANIA,2023,4.9
LITHUANIA,2024,5.3
LUXEMBOURG,2004,3.9
LUXEMBOURG,2005,4.2
LUXEMBOURG,2006,3.3
LUXEMBOURG,2007,3.6
LUXEMBOURG,2008,4.8
LUXEMBOURG,2009,4.6
LUXEMBOURG,2010,4.6
LUXEMBOURG,2011,4.3
LUXEMBOURG,2012,5.0
LUXEMBOURG,2013,4.7
LUXEMBOURG,2014,5.1
LUXEMBOURG,2015,5.0
LUXEMBOURG,2016,5.1
LUXEMBOURG,2017,5.2
LUXEMBOURG,2018,5.9
LUXEMBOURG,2019,6.1
LUXEMBOURG,2020,6.3
LUXEMBOURG,2021,6.7
LUXEMBOURG,2022,7.7
LUXEMBOURG,2023,8.0
LUXEMBOURG,2024,8.0
LATVIA,2004,2.8
LATVIA,2005,3.0
LATVIA,2006,2.7
LATVIA,2007,2.6
LATVIA,2008,2.8
LATVIA,2009,2.7
LATVIA,2010,2.8
LATVIA,2011,2.5
LATVIA,2012,2.2
LATVIA,2013,2.4
LATVIA,2014,2.5
LATVIA,2015,2.7
LATVIA,2016,2.7
LATVIA,2017,2.8
LATVIA,2018,2.5
LATVIA,2019,3.1
LATVIA,2020,3.6
LATVIA,2021,3.8
LATVIA,2022,4.4
LATVIA,2023,4.4
LATVIA,2024,4.9
MONTENEGRO,2011,1.8
MONTENEGRO,2012,1.9
MONTENEGRO,2013,2.1
MONTENEGRO,2014,2.3
MONTENEGRO,2015,2.4
MONTENEGRO,2016,2.1
MONTENEGRO,2017,2.3
MONTENEGRO,2018,1.9
MONTENEGRO,2019,1.8
MONTENEGRO,2020,2.5
NORTH MACEDONIA,2011,1.3
NORTH MACEDONIA,2012,1.3
NORTH MACEDONIA,2013,1.3
NORTH MACEDONIA,2014,1.5
NORTH MACEDONIA,2015,1.8
NORTH MACEDONIA,2016,1.8
NORTH MACEDONIA,2017,1.6
NORTH MACEDONIA,2018,1.6
NORTH MACEDONIA,2019,1.9
NORTH MACEDONIA,2020,2.3
MALTA,2004,5.4
MALTA,2005,4.8
MALTA,2006,4.0
MALTA,2007,5.9
MALTA,2008,5.5
MALTA,2009,4.7
MALTA,2010,4.7
MALTA,2011,3.4
MALTA,2012,3.4
MALTA,2013,3.3
MALTA,2014,3.6
MALTA,2015,3.8
MALTA,2016,3.9
MALTA,2017,4.3
MALTA,2018,4.8
MALTA,2019,4.6
MALTA,2020,4.4
MALTA,2021,4.8
MALTA,2022,5.0
MALTA,2023,4.7
MALTA,2024,5.2
NETHERLANDS,2004,4.1
NETHERLANDS,2005,4.0
NETHERLANDS,2006,3.8
NETHERLANDS,2007,3.7
NETHERLANDS,2008,3.8
NETHERLANDS,2009,3.8
NETHERLANDS,2010,3.9
NETHERLANDS,2011,4.6
NETHERLANDS,2012,4.5
NETHERLANDS,2013,4.7
NETHERLANDS,2014,4.8
NETHERLANDS,2015,5.0
NETHERLANDS,2016,5.1
NETHERLANDS,2017,5.1
NETHERLANDS,2018,5.3
NETHERLANDS,2019,5.6
NETHERLANDS,2020,5.9
NETHERLANDS,2021,6.7
NETHERLANDS,2022,7.2
NETHERLANDS,2023,6.9
NETHERLANDS,2024,7.0
NORWAY,2011,4.3
NORWAY,2012,4.4
NORWAY,2013,4.5
NORWAY,2014,4.5
NORWAY,2015,4.5
NORWAY,2016,4.2
NORWAY,2017,4.6
NORWAY,2018,4.5
NORWAY,2019,4.6
NORWAY,2020,5.0
NORWAY,2021,5.4
NORWAY,2022,5.1
NORWAY,2023,5.3
NORWAY,2024,5.5
POLAND,2004,2.5
POLAND,2005,2.6
POLAND,2006,2.8
POLAND,2007,3.0
POLAND,2008,3.0
POLAND,2009,3.2
POLAND,2010,3.0
POLAND,2011,2.3
POLAND,2012,2.5
POLAND,2013,2.6
POLAND,2014,2.6
POLAND,2015,2.6
POLAND,2016,2.7
POLAND,2017,2.8
POLAND,2018,3.0
POLAND,2019,3.2
POLAND,2020,3.5
POLAND,2021,3.7
POLAND,2022,3.7
POLAND,2023,4.3
POLAND,2024,4.5
PORTUGAL,2004,2.3
PORTUGAL,2005,2.4
PORTUGAL,2006,2.6
PORTUGAL,2007,2.8
PORTUGAL,2008,2.6
PORTUGAL,2009,2.8
PORTUGAL,2010,2.9
PORTUGAL,2011,2.0
PORTUGAL,2012,2.1
PORTUGAL,2013,2.4
PORTUGAL,2014,3.1
PORTUGAL,2015,2.9
PORTUGAL,2016,3.0
PORTUGAL,2017,2.9
PORTUGAL,2018,3.1
PORTUGAL,2019,3.6
PORTUGAL,2020,4.0
PORTUGAL,2021,4.6
PORTUGAL,2022,4.5
PORTUGAL,2023,4.6
PORTUGAL,2024,5.2
ROMANIA,2005,1.4
ROMANIA,2006,2.0
ROMANIA,2007,2.1
