sector,unit_of_measure,geo,geopolitical_entity_reporting,time_period,obs_value,sector_group
"AGRICULTURE, FORESTRY AND FISHING",PERCENTAGE OF TOTAL EMPLOYMENT,CH,SWITZERLAND,2014,0.7,PRIMARY
"AGRICULTURE, FORESTRY AND FISHING",PERCENTAGE OF TOTAL EMPLOYMENT,CH,SWITZERLAND,2015,0.8,PRIMARY
"AGRICULTURE, FORESTRY AND FISHING",PERCENTAGE OF TOTAL EMPLOYMENT,CZ,CZECHIA,2008,1.1,PRIMARY
"AGRICULTURE, FORESTRY AND FISHING",PERCENTAGE OF TOTAL EMPLOYMENT,CZ,CZECHIA,2010,0.5,PRIMARY
"AGRICULTURE, FORESTRY AND FISHING",PERCENTAGE OF TOTAL EMPLOYMENT,CZ,CZECHIA,2011,0.6,PRIMARY
"AGRICULTURE, FORESTRY AND FISHING",PERCENTAGE OF TOTAL EMPLOYMENT,CZ,CZECHIA,2020,0.4,PRIMARY
"AGRICULTURE, FORESTRY AND FISHING",PERCENTAGE OF TOTAL EMPLOYMENT,ES,SPAIN,2018,0.2,PRIMARY
"AGRICULTURE, FORESTRY AND FISHING",PERCENTAGE OF TOTAL EMPLOYMENT,ES,SPAIN,2021,0.2,PRIMARY
"AGRICULTURE, FORESTRY AND FISHING",PERCENTAGE OF TOTAL EMPLOYMENT,ES,SPAIN,2024,0.2,PRIMARY
"AGRICULTURE, FORESTRY AND FISHING",PERCENTAGE OF TOTAL EMPLOYMENT,EU27_2020,EUROPEAN UNION - 27 COUNTRIES (FROM 2020),2008,0.2,PRIMARY
"AGRICULTURE, FORESTRY AND FISHING",PERCENTAGE OF TOTAL EMPLOYMENT,EU27_2020,EUROPEAN UNION - 27 COUNTRIES (FROM 2020),2009,0.2,PRIMARY
"AGRICULTURE, FORESTRY AND FISHING",PERCENTAGE OF TOTAL EMPLOYMENT,EU27_2020,EUROPEAN UNION - 27 COUNTRIES (FROM 2020),2010,0.2,PRIMARY
"AGRICULTURE, FORESTRY AND FISHING",PERCENTAGE OF TOTAL EMPLOYMENT,EU27_2020,EUROPEAN UNION - 27 COUNTRIES (FROM 2020),2011,0.1,PRIMARY
"AGRICULTURE, FORESTRY AND FISHING",PERCENTAGE OF TOTAL EMPLOYMENT,EU27_2020,EUROPEAN UNION - 27 COUNTRIES (FROM 2020),2012,0.1,PRIMARY
"AGRICULTURE, FORESTRY AND FISHING",PERCENTAGE OF TOTAL EMPLOYMENT,EU27_2020,EUROPEAN UNION - 27 COUNTRIES (FROM 2020),2013,0.1,PRIMARY
"AGRICULTURE, FORESTRY AND FISHING",PERCENTAGE OF TOTAL EMPLOYMENT,EU27_2020,EUROPEAN UNION - 27 COUNTRIES (FROM 2020),2014,0.1,PRIMARY
"AGRICULTURE, FORESTRY AND FISHING",PERCENTAGE OF TOTAL EMPLOYMENT,EU27_2020,EUROPEAN UNION - 27 COUNTRIES (FROM 2020),2015,0.1,PRIMARY
"AGRICULTURE, FORESTRY AND FISHING",PERCENTAGE OF TOTAL EMPLOYMENT,EU27_2020,EUROPEAN UNION - 27 COUNTRIES (FROM 2020),2016,0.1,PRIMARY
"AGRICULTURE, FORESTRY AND FISHING",PERCENTAGE OF TOTAL EMPLOYMENT,EU27_2020,EUROPEAN UNION - 27 COUNTRIES (FROM 2020),2017,0.2,PRIMARY
"AGRICULTURE, FORESTRY AND FISHING",PERCENTAGE OF TOTAL EMPLOYMENT,EU27_2020,EUROPEAN UNION - 27 COUNTRIES (FROM 2020),2018,0.1,PRIMARY
"AGRICULTURE, FORESTRY AND FISHING",PERCENTAGE OF TOTAL EMPLOYMENT,EU27_2020,EUROPEAN UNION - 27 COUNTRIES (FROM 2020),2019,0.1,PRIMARY
"AGRICULTURE, FORESTRY AND FISHING",PERCENTAGE OF TOTAL EMPLOYMENT,EU27_2020,EUROPEAN UNION - 27 COUNTRIES (FROM 2020),2020,0.2,PRIMARY
"AGRICULTURE, FORESTRY AND FISHING",PERCENTAGE OF TOTAL EMPLOYMENT,EU27_2020,EUROPEAN UNION - 27 COUNTRIES (FROM 2020),2021,0.2,PRIMARY
"AGRICULTURE, FORESTRY AND FISHING",PERCENTAGE OF TOTAL EMPLOYMENT,EU27_2020,EUROPEAN UNION - 27 COUNTRIES (FROM 2020),2022,0.3,PRIMARY
"AGRICULTURE, FORESTRY AND FISHING",PERCENTAGE OF TOTAL EMPLOYMENT,EU27_2020,EUROPEAN UNION - 27 COUNTRIES (FROM 2020),2023,0.2,PRIMARY
"AGRICULTURE, FORESTRY AND FISHING",PERCENTAGE OF TOTAL EMPLOYMENT,EU27_2020,EUROPEAN UNION - 27 COUNTRIES (FROM 2020),2024,0.2,PRIMARY
"AGRICULTURE, FORESTRY AND FISHING",PERCENTAGE OF TOTAL EMPLOYMENT,FR,FRANCE,2013,0.2,PRIMARY
"AGRICULTURE, FORESTRY AND FISHING",PERCENTAGE OF TOTAL EMPLOYMENT,FR,FRANCE,2014,0.1,PRIMARY
"AGRICULTURE, FORESTRY AND FISHING",PERCENTAGE OF TOTAL EMPLOYMENT,FR,FRANCE,2015,0.2,PRIMARY
"AGRICULTURE, FORESTRY AND FISHING",PERCENTAGE OF TOTAL EMPLOYMENT,FR,FRANCE,2016,0.3,PRIMARY
"AGRICULTURE, FORESTRY AND FISHING",PERCENTAGE OF TOTAL EMPLOYMENT,FR,FRANCE,2017,0.4,PRIMARY
"AGRICULTURE, FORESTRY AND FISHING",PERCENTAGE OF TOTAL EMPLOYMENT,IT,ITALY,2008,0.3,PRIMARY
"AGRICULTURE, FORESTRY AND FISHING",PERCENTAGE OF TOTAL EMPLOYMENT,IT,ITALY,2009,0.2,PRIMARY
"AGRICULTURE, FORESTRY AND FISHING",PERCENTAGE OF TOTAL EMPLOYMENT,IT,ITALY,2014,0.3,PRIMARY
"AGRICULTURE, FORESTRY AND FISHING",PERCENTAGE OF TOTAL EMPLOYMENT,IT,ITALY,2019,0.2,PRIMARY
"AGRICULTURE, FORESTRY AND FISHING",PERCENTAGE OF TOTAL EMPLOYMENT,IT,ITALY,2020,0.2,PRIMARY
"AGRICULTURE, FORESTRY AND FISHING",PERCENTAGE OF TOTAL EMPLOYMENT,IT,ITALY,2024,0.2,PRIMARY
"AGRICULTURE, FORESTRY AND FISHING",PERCENTAGE OF TOTAL EMPLOYMENT,NL,NETHERLANDS,2020,1.1,PRIMARY
"AGRICULTURE, FORESTRY AND FISHING",PERCENTAGE OF TOTAL EMPLOYMENT,NL,NETHERLANDS,2021,1.2,PRIMARY
"AGRICULTURE, FORESTRY AND FISHING",PERCENTAGE OF TOTAL EMPLOYMENT,NL,NETHERLANDS,2022,1.3,PRIMARY
"AGRICULTURE, FORESTRY AND FISHING",PERCENTAGE OF TOTAL EMPLOYMENT,NL,NETHERLANDS,2024,1.0,PRIMARY
