structure,structure_id,structure_name,freq,time_frequency,unit,unit_of_measure,geo,geopolitical_entity_reporting,time_period,time,obs_value,observation_value,obs_flag,observation_status_flag_v2_structure,conf_status,confidentiality_status_flag
dataflow,ESTAT:ISOC_SK_OJA1(1.0),"Labour market demand for ICT specialists in online job advertisements, by NUTS 2 region - experimental statistics",Q,Quarterly,PC,Percentage,AT,Austria,2019-Q4,,11.9,,,,,
dataflow,ESTAT:ISOC_SK_OJA1(1.0),"Labour market demand for ICT specialists in online job advertisements, by NUTS 2 region - experimental statistics",Q,Quarterly,PC,Percentage,AT,Austria,2020-Q1,,12.0,,,,,
dataflow,ESTAT:ISOC_SK_OJA1(1.0),"Labour market demand for ICT specialists in online job advertisements, by NUTS 2 region - experimental statistics",Q,Quarterly,PC,Percentage,AT,Austria,2020-Q2,,12.9,,,,,
dataflow,ESTAT:ISOC_SK_OJA1(1.0),"Labour market demand for ICT specialists in online job advertisements, by NUTS 2 region - experimental statistics",Q,Quarterly,PC,Percentage,AT,Austria,2020-Q3,,13.6,,,,,
dataflow,ESTAT:ISOC_SK_OJA1(1.0),"Labour market demand for ICT specialists in online job advertisements, by NUTS 2 region - experimental statistics",Q,Quarterly,PC,Percentage,AT,Austria,2020-Q4,,14.8,,,,,
dataflow,ESTAT:ISOC_SK_OJA1(1.0),"Labour market demand for ICT specialists in online job advertisements, by NUTS 2 region - experimental statistics",Q,Quarterly,PC,Percentage,AT,Austria,2021-Q1,,15.4,,,,,
dataflow,ESTAT:ISOC_SK_OJA1(1.0),"Labour market demand for ICT specialists in online job advertisements, by NUTS 2 region - experimental statistics",Q,Quarterly,PC,Percentage,AT,Austria,2021-Q2,,14.4,,,,,
dataflow,ESTAT:ISOC_SK_OJA1(1.0),"Labour market demand for ICT specialists in online job advertisements, by NUTS 2 region - experimental statistics",Q,Quarterly,PC,Percentage,AT,Austria,2021-Q3,,13.5,,,,,
dataflow,ESTAT:ISOC_SK_OJA1(1.0),"Labour market demand for ICT specialists in online job advertisements, by NUTS 2 region - experimental statistics",Q,Quarterly,PC,Percentage,AT,Austria,2021-Q4,,12.2,,,,,
dataflow,ESTAT:ISOC_SK_OJA1(1.0),"Labour market demand for ICT specialists in online job advertisements, by NUTS 2 region - experimental statistics",Q,Quarterly,PC,Percentage,AT,Austria,2022-Q1,,11.9,,,,,
dataflow,ESTAT:ISOC_SK_OJA1(1.0),"Labour market demand for ICT specialists in online job advertisements, by NUTS 2 region - experimental statistics",Q,Quarterly,PC,Percentage,AT,Austria,2022-Q2,,12.4,,,,,
dataflow,ESTAT:ISOC_SK_OJA1(1.0),"Labour market demand for ICT specialists in online job advertisements, by NUTS 2 region - experimental statistics",Q,Quarterly,PC,Percentage,AT,Austria,2022-Q3,,13.0,,,,,
dataflow,ESTAT:ISOC_SK_OJA1(1.0),"Labour market demand for ICT specialists in online job advertisements, by NUTS 2 region - experimental statistics",Q,Quarterly,PC,Percentage,AT,Austria,2022-Q4,,13.0,,,,,
dataflow,ESTAT:ISOC_SK_OJA1(1.0),"Labour market demand for ICT specialists in online job advertisements, by NUTS 2 region - experimental statistics",Q,Quarterly,PC,Percentage,AT,Austria,2023-Q1,,13.7,,,,,
