size_emp,size_classes_in_number_of_persons_employed,sector,unit_of_measure,geo,geopolitical_entity_reporting,time_period,obs_value,sector_group
GE10,10 PERSONS EMPLOYED OR MORE,MANUFACTURING,PERCENTAGE OF ENTERPRISES,AL,ALBANIA,2022,11.22,INDUSTRY
GE10,10 PERSONS EMPLOYED OR MORE,MANUFACTURING,PERCENTAGE OF ENTERPRISES,AT,AUSTRIA,2012,35.12,INDUSTRY
GE10,10 PERSONS EMPLOYED OR MORE,MANUFACTURING,PERCENTAGE OF ENTERPRISES,AT,AUSTRIA,2014,31.01,INDUSTRY
GE10,10 PERSONS EMPLOYED OR MORE,MANUFACTURING,PERCENTAGE OF ENTERPRISES,AT,AUSTRIA,2015,31.44,INDUSTRY
GE10,10 PERSONS EMPLOYED OR MORE,MANUFACTURING,PERCENTAGE OF ENTERPRISES,AT,AUSTRIA,2016,35.22,INDUSTRY
GE10,10 PERSONS EMPLOYED OR MORE,MANUFACTURING,PERCENTAGE OF ENTERPRISES,AT,AUSTRIA,2017,30.53,INDUSTRY
GE10,10 PERSONS EMPLOYED OR MORE,MANUFACTURING,PERCENTAGE OF ENTERPRISES,AT,AUSTRIA,2018,28.03,INDUSTRY
GE10,10 PERSONS EMPLOYED OR MORE,MANUFACTURING,PERCENTAGE OF ENTERPRISES,AT,AUSTRIA,2019,29.0,INDUSTRY
GE10,10 PERSONS EMPLOYED OR MORE,MANUFACTURING,PERCENTAGE OF ENTERPRISES,AT,AUSTRIA,2020,28.74,INDUSTRY
GE10,10 PERSONS EMPLOYED OR MORE,MANUFACTURING,PERCENTAGE OF ENTERPRISES,AT,AUSTRIA,2022,28.37,INDUSTRY
GE10,10 PERSONS EMPLOYED OR MORE,MANUFACTURING,PERCENTAGE OF ENTERPRISES,AT,AUSTRIA,2024,30.02,INDUSTRY
GE10,10 PERSONS EMPLOYED OR MORE,MANUFACTURING,PERCENTAGE OF ENTERPRISES,BA,BOSNIA AND HERZEGOVINA,2018,12.5,INDUSTRY
GE10,10 PERSONS EMPLOYED OR MORE,MANUFACTURING,PERCENTAGE OF ENTERPRISES,BA,BOSNIA AND HERZEGOVINA,2019,13.33,INDUSTRY
GE10,10 PERSONS EMPLOYED OR MORE,MANUFACTURING,PERCENTAGE OF ENTERPRISES,BA,BOSNIA AND HERZEGOVINA,2020,12.92,INDUSTRY
GE10,10 PERSONS EMPLOYED OR MORE,MANUFACTURING,PERCENTAGE OF ENTERPRISES,BA,BOSNIA AND HERZEGOVINA,2022,12.46,INDUSTRY
GE10,10 PERSONS EMPLOYED OR MORE,MANUFACTURING,PERCENTAGE OF ENTERPRISES,BA,BOSNIA AND HERZEGOVINA,2024,13.91,INDUSTRY
GE10,10 PERSONS EMPLOYED OR MORE,MANUFACTURING,PERCENTAGE OF ENTERPRISES,BE,BELGIUM,2012,32.85,INDUSTRY
GE10,10 PERSONS EMPLOYED OR MORE,MANUFACTURING,PERCENTAGE OF ENTERPRISES,BE,BELGIUM,2019,30.43,INDUSTRY
GE10,10 PERSONS EMPLOYED OR MORE,MANUFACTURING,PERCENTAGE OF ENTERPRISES,BE,BELGIUM,2022,35.46,INDUSTRY
GE10,10 PERSONS EMPLOYED OR MORE,MANUFACTURING,PERCENTAGE OF ENTERPRISES,BE,BELGIUM,2024,35.31,INDUSTRY
GE10,10 PERSONS EMPLOYED OR MORE,MANUFACTURING,PERCENTAGE OF ENTERPRISES,BG,BULGARIA,2012,10.34,INDUSTRY
GE10,10 PERSONS EMPLOYED OR MORE,MANUFACTURING,PERCENTAGE OF ENTERPRISES,BG,BULGARIA,2014,17.2,INDUSTRY
GE10,10 PERSONS EMPLOYED OR MORE,MANUFACTURING,PERCENTAGE OF ENTERPRISES,BG,BULGARIA,2015,16.76,INDUSTRY
GE10,10 PERSONS EMPLOYED OR MORE,MANUFACTURING,PERCENTAGE OF ENTERPRISES,BG,BULGARIA,2016,15.71,INDUSTRY
GE10,10 PERSONS EMPLOYED OR MORE,MANUFACTURING,PERCENTAGE OF ENTERPRISES,BG,BULGARIA,2017,17.61,INDUSTRY
GE10,10 PERSONS EMPLOYED OR MORE,MANUFACTURING,PERCENTAGE OF ENTERPRISES,BG,BULGARIA,2018,14.58,INDUSTRY
GE10,10 PERSONS EMPLOYED OR MORE,MANUFACTURING,PERCENTAGE OF ENTERPRISES,BG,BULGARIA,2019,16.27,INDUSTRY
GE10,10 PERSONS EMPLOYED OR MORE,MANUFACTURING,PERCENTAGE OF ENTERPRISES,BG,BULGARIA,2020,15.16,INDUSTRY
GE10,10 PERSONS EMPLOYED OR MORE,MANUFACTURING,PERCENTAGE OF ENTERPRISES,BG,BULGARIA,2022,14.73,INDUSTRY
GE10,10 PERSONS EMPLOYED OR MORE,MANUFACTURING,PERCENTAGE OF ENTERPRISES,BG,BULGARIA,2024,15.53,INDUSTRY
GE10,10 PERSONS EMPLOYED OR MORE,MANUFACTURING,PERCENTAGE OF ENTERPRISES,CY,CYPRUS,2012,13.12,INDUSTRY
GE10,10 PERSONS EMPLOYED OR MORE,MANUFACTURING,PERCENTAGE OF ENTERPRISES,CY,CYPRUS,2014,14.28,INDUSTRY
GE10,10 PERSONS EMPLOYED OR MORE,MANUFACTURING,PERCENTAGE OF ENTERPRISES,CY,CYPRUS,2015,15.62,INDUSTRY
GE10,10 PERSONS EMPLOYED OR MORE,MANUFACTURING,PERCENTAGE OF ENTERPRISES,CY,CYPRUS,2016,14.9,INDUSTRY
GE10,10 PERSONS EMPLOYED OR MORE,MANUFACTURING,PERCENTAGE OF ENTERPRISES,CY,CYPRUS,2017,13.23,INDUSTRY
GE10,10 PERSONS EMPLOYED OR MORE,MANUFACTURING,PERCENTAGE OF ENTERPRISES,CY,CYPRUS,2018,15.51,INDUSTRY
GE10,10 PERSONS EMPLOYED OR MORE,MANUFACTURING,PERCENTAGE OF ENTERPRISES,CY,CYPRUS,2019,18.03,INDUSTRY
GE10,10 PERSONS EMPLOYED OR MORE,MANUFACTURING,PERCENTAGE OF ENTERPRISES,CY,CYPRUS,2020,14.23,INDUSTRY
