unit_of_measure,geo,geopolitical_entity_reporting,time_period,obs_value,Geopolitical entity (reporting)
PERCENTAGE,AT,AUSTRIA,2019-Q4,11.9,Austria
PERCENTAGE,AT,AUSTRIA,2020-Q1,12.0,Austria
PERCENTAGE,AT,AUSTRIA,2020-Q2,12.9,Austria
PERCENTAGE,AT,AUSTRIA,2020-Q3,13.6,Austria
PERCENTAGE,AT,AUSTRIA,2020-Q4,14.8,Austria
PERCENTAGE,AT,AUSTRIA,2021-Q1,15.4,Austria
PERCENTAGE,AT,AUSTRIA,2021-Q2,14.4,Austria
PERCENTAGE,AT,AUSTRIA,2021-Q3,13.5,Austria
PERCENTAGE,AT,AUSTRIA,2021-Q4,12.2,Austria
PERCENTAGE,AT,AUSTRIA,2022-Q1,11.9,Austria
PERCENTAGE,AT,AUSTRIA,2022-Q2,12.4,Austria
PERCENTAGE,AT,AUSTRIA,2022-Q3,13.0,Austria
PERCENTAGE,AT,AUSTRIA,2022-Q4,13.0,Austria
PERCENTAGE,AT,AUSTRIA,2023-Q1,13.7,Austria
PERCENTAGE,AT,AUSTRIA,2023-Q2,14.1,Austria
PERCENTAGE,AT,AUSTRIA,2023-Q3,14.1,Austria
PERCENTAGE,AT,AUSTRIA,2023-Q4,14.0,Austria
PERCENTAGE,AT,AUSTRIA,2024-Q1,13.8,Austria
PERCENTAGE,AT,AUSTRIA,2024-Q2,13.6,Austria
PERCENTAGE,AT,AUSTRIA,2024-Q3,12.9,Austria
PERCENTAGE,AT,AUSTRIA,2024-Q4,12.4,Austria
PERCENTAGE,AT,AUSTRIA,2025-Q1,12.0,Austria
PERCENTAGE,AT,AUSTRIA,2025-Q2,11.8,Austria
PERCENTAGE,AT,BURGENLAND,2019-Q4,0.5,Austria
PERCENTAGE,AT,BURGENLAND,2020-Q1,4.0,Austria
PERCENTAGE,AT,BURGENLAND,2020-Q2,4.6,Austria
PERCENTAGE,AT,BURGENLAND,2020-Q3,5.1,Austria
PERCENTAGE,AT,BURGENLAND,2020-Q4,6.2,Austria
PERCENTAGE,AT,BURGENLAND,2021-Q1,5.6,Austria
PERCENTAGE,AT,BURGENLAND,2021-Q2,7.2,Austria
PERCENTAGE,AT,BURGENLAND,2021-Q3,6.7,Austria
PERCENTAGE,AT,BURGENLAND,2021-Q4,6.5,Austria
PERCENTAGE,AT,BURGENLAND,2022-Q1,7.1,Austria
PERCENTAGE,AT,BURGENLAND,2022-Q2,6.4,Austria
PERCENTAGE,AT,BURGENLAND,2022-Q3,6.9,Austria
PERCENTAGE,AT,BURGENLAND,2022-Q4,7.6,Austria
PERCENTAGE,AT,BURGENLAND,2023-Q1,8.7,Austria
PERCENTAGE,AT,BURGENLAND,2023-Q2,10.5,Austria
PERCENTAGE,AT,BURGENLAND,2023-Q3,10.3,Austria
PERCENTAGE,AT,BURGENLAND,2023-Q4,10.2,Austria
PERCENTAGE,AT,BURGENLAND,2024-Q1,9.5,Austria
PERCENTAGE,AT,BURGENLAND,2024-Q2,10.0,Austria
PERCENTAGE,AT,BURGENLAND,2024-Q3,8.4,Austria
PERCENTAGE,AT,BURGENLAND,2024-Q4,8.8,Austria
PERCENTAGE,AT,BURGENLAND,2025-Q1,9.7,Austria
PERCENTAGE,AT,BURGENLAND,2025-Q2,9.1,Austria
PERCENTAGE,AT,NIEDERÖSTERREICH,2019-Q4,8.1,Austria
PERCENTAGE,AT,NIEDERÖSTERREICH,2020-Q1,7.6,Austria
PERCENTAGE,AT,NIEDERÖSTERREICH,2020-Q2,7.7,Austria
PERCENTAGE,AT,NIEDERÖSTERREICH,2020-Q3,8.3,Austria
PERCENTAGE,AT,NIEDERÖSTERREICH,2020-Q4,8.8,Austria
PERCENTAGE,AT,NIEDERÖSTERREICH,2021-Q1,9.3,Austria
PERCENTAGE,AT,NIEDERÖSTERREICH,2021-Q2,9.3,Austria
PERCENTAGE,AT,NIEDERÖSTERREICH,2021-Q3,8.5,Austria
PERCENTAGE,AT,NIEDERÖSTERREICH,2021-Q4,7.8,Austria
PERCENTAGE,AT,NIEDERÖSTERREICH,2022-Q1,7.4,Austria
PERCENTAGE,AT,NIEDERÖSTERREICH,2022-Q2,7.3,Austria
PERCENTAGE,AT,NIEDERÖSTERREICH,2022-Q3,7.9,Austria
PERCENTAGE,AT,NIEDERÖSTERREICH,2022-Q4,7.9,Austria
PERCENTAGE,AT,NIEDERÖSTERREICH,2023-Q1,8.6,Austria
PERCENTAGE,AT,NIEDERÖSTERREICH,2023-Q2,9.2,Austria
PERCENTAGE,AT,NIEDERÖSTERREICH,2023-Q3,8.9,Austria
PERCENTAGE,AT,NIEDERÖSTERREICH,2023-Q4,8.6,Austria
PERCENTAGE,AT,NIEDERÖSTERREICH,2024-Q1,8.2,Austria
PERCENTAGE,AT,NIEDERÖSTERREICH,2024-Q2,8.1,Austria
PERCENTAGE,AT,NIEDERÖSTERREICH,2024-Q3,8.1,Austria
PERCENTAGE,AT,NIEDERÖSTERREICH,2024-Q4,8.1,Austria
PERCENTAGE,AT,NIEDERÖSTERREICH,2025-Q1,7.7,Austria
PERCENTAGE,AT,NIEDERÖSTERREICH,2025-Q2,7.5,Austria
PERCENTAGE,AT,WIEN,2019-Q4,19.6,Austria
PERCENTAGE,AT,WIEN,2020-Q1,19.4,Austria
PERCENTAGE,AT,WIEN,2020-Q2,20.6,Austria
PERCENTAGE,AT,WIEN,2020-Q3,21.0,Austria
PERCENTAGE,AT,WIEN,2020-Q4,22.1,Austria
PERCENTAGE,AT,WIEN,2021-Q1,22.7,Austria
PERCENTAGE,AT,WIEN,2021-Q2,21.5,Austria
PERCENTAGE,AT,WIEN,2021-Q3,20.6,Austria
PERCENTAGE,AT,WIEN,2021-Q4,18.9,Austria
PERCENTAGE,AT,WIEN,2022-Q1,18.5,Austria
PERCENTAGE,AT,WIEN,2022-Q2,18.5,Austria
PERCENTAGE,AT,WIEN,2022-Q3,18.9,Austria
PERCENTAGE,AT,WIEN,2022-Q4,19.4,Austria
PERCENTAGE,AT,WIEN,2023-Q1,20.4,Austria
PERCENTAGE,AT,WIEN,2023-Q2,21.1,Austria
PERCENTAGE,AT,WIEN,2023-Q3,21.1,Austria
PERCENTAGE,AT,WIEN,2023-Q4,21.0,Austria
PERCENTAGE,AT,WIEN,2024-Q1,20.3,Austria
PERCENTAGE,AT,WIEN,2024-Q2,19.7,Austria
PERCENTAGE,AT,WIEN,2024-Q3,18.4,Austria
PERCENTAGE,AT,WIEN,2024-Q4,17.5,Austria
PERCENTAGE,AT,WIEN,2025-Q1,17.0,Austria
PERCENTAGE,AT,WIEN,2025-Q2,16.5,Austria
PERCENTAGE,AT,KÄRNTEN,2019-Q4,5.6,Austria
PERCENTAGE,AT,KÄRNTEN,2020-Q1,5.9,Austria
PERCENTAGE,AT,KÄRNTEN,2020-Q2,6.0,Austria
PERCENTAGE,AT,KÄRNTEN,2020-Q3,6.8,Austria
