work_year,experience_level,employment_type,job_title,salary,salary_currency,salary_in_usd,employee_residence,remote_ratio,company_location,company_size,remote_type,role_category,salary_band,international_job
2021,MI,FT,Data Scientist,30400000,CLP,40038,CL,100.0,CL,L,Remote,Data Scientist,Low,False
2021,MI,FT,BI Data Analyst,11000000,HUF,36259,HU,50.0,US,L,Hybrid,Data Analyst / BI,Low,True
2020,MI,FT,Data Scientist,11000000,HUF,35735,HU,50.0,HU,L,Hybrid,Data Scientist,Low,False
2021,MI,FT,ML Engineer,8500000,JPY,77364,JP,50.0,JP,S,Hybrid,ML / AI Engineer,Low,False
2022,SE,FT,Lead Machine Learning Engineer,7500000,INR,95386,IN,50.0,IN,L,Hybrid,ML / AI Engineer,Medium,False
2021,MI,FT,ML Engineer,7000000,JPY,63711,JP,50.0,JP,S,Hybrid,ML / AI Engineer,Low,False
2021,SE,FT,Data Science Manager,7000000,INR,94665,IN,50.0,IN,L,Hybrid,Data Scientist,Medium,False
2022,EN,FT,Data Scientist,6600000,HUF,17684,HU,100.0,HU,M,Remote,Data Scientist,Low,False
2022,EX,FT,Head of Machine Learning,6000000,INR,76309,IN,50.0,IN,L,Hybrid,ML / AI Engineer,Low,False
2022,EN,FT,Research Engineer,5500000,JPY,41809,JP,50.0,JP,L,Hybrid,Research,Low,False
2023,MI,FT,Head of Data Science,5000000,INR,60805,IN,50.0,IN,L,Hybrid,Data Scientist,Low,False
2023,EN,FT,AI Programmer,4950806,INR,60207,IN,0.0,IN,S,On-site,ML / AI Engineer,Low,False
2021,SE,FT,Machine Learning Engineer,4900000,INR,66265,IN,0.0,IN,L,On-site,ML / AI Engineer,Low,False
2022,SE,FT,Lead Data Scientist,4460000,INR,56723,IN,0.0,IN,L,On-site,Data Scientist,Low,False
2020,EN,FT,Data Engineer,4450000,JPY,41689,JP,100.0,JP,S,Remote,Data Engineer,Low,False
2022,MI,FT,Data Scientist,4200000,INR,53416,IN,100.0,ID,L,Remote,Data Scientist,Low,True
2023,EN,FT,Applied Machine Learning Scientist,4000000,INR,48644,IN,100.0,DE,L,Remote,ML / AI Engineer,Low,True
2021,SE,FT,Data Scientist,4000000,INR,54094,IN,100.0,IN,L,Remote,Data Scientist,Low,False
2021,SE,FT,Data Science Manager,4000000,INR,54094,IN,50.0,US,L,Hybrid,Data Scientist,Low,True
2023,SE,FT,Data Science Manager,3600000,INR,43779,IN,100.0,IN,L,Remote,Data Scientist,Low,False
2024,MI,FT,Lead Data Analyst,3300000,INR,39615,IN,50.0,IN,L,Hybrid,Data Analyst / BI,Low,False
2023,MI,FT,Data Science Manager,3200000,INR,38915,IN,50.0,IN,L,Hybrid,Data Scientist,Low,False
2023,MI,FT,Data Analytics Manager,3200000,INR,38915,IN,50.0,IN,M,Hybrid,Data Analyst / BI,Low,False
2023,SE,FT,Data Integration Specialist,3000000,INR,36483,IN,50.0,IN,L,Hybrid,Data Architecture / Infrastructure,Low,False
2022,SE,FT,Principal Data Architect,3000000,INR,38154,IN,100.0,IN,L,Remote,Data Architecture / Infrastructure,Low,False
2021,SE,FT,Lead Data Scientist,3000000,INR,40570,IN,50.0,IN,L,Hybrid,Data Scientist,Low,False
2020,MI,FT,Data Scientist,3000000,INR,40481,IN,0.0,IN,L,On-site,Data Scientist,Low,False
2022,MI,FT,Data Engineer,2800000,INR,35610,IN,50.0,IN,L,Hybrid,Data Engineer,Low,False
2023,MI,FT,NLP Engineer,2700000,INR,32834,IN,100.0,IN,M,Remote,ML / AI Engineer,Low,False
2022,MI,FT,Data Scientist,2500000,INR,31795,IN,100.0,US,M,Remote,Data Scientist,Low,True
2021,MI,FT,Data Scientist,2500000,INR,33808,IN,0.0,IN,M,On-site,Data Scientist,Low,False
2022,MI,FL,Applied Machine Learning Scientist,2400000,INR,30523,IN,100.0,IN,S,Remote,ML / AI Engineer,Low,False
2022,MI,FT,Data Scientist,2400000,INR,30523,IN,100.0,IN,L,Remote,Data Scientist,Low,False
2024,MI,FT,Big Data Engineer,2300000,INR,27611,IN,100.0,IN,L,Remote,Data Analyst / BI,Low,False
2021,EN,FT,Data Engineer,2250000,INR,30428,IN,100.0,IN,L,Remote,Data Engineer,Low,False
2021,EN,FT,Data Scientist,2200000,INR,29751,IN,50.0,IN,L,Hybrid,Data Scientist,Low,False
2021,EN,FT,Data Scientist,2100000,INR,28399,IN,100.0,IN,M,Remote,Data Scientist,Low,False
2023,EN,FT,AI Research Engineer,2000000,INR,24322,IN,100.0,CH,L,Remote,Research,Low,True
2023,MI,FT,Machine Learning Software Engineer,2000000,INR,24322,IN,50.0,IN,L,Hybrid,ML / AI Engineer,Low,False
2022,EN,FT,Data Scientist,1800000,INR,22892,IN,50.0,IN,M,Hybrid,Data Scientist,Low,False
