occupation,unit_of_measure,geo,geopolitical_entity_reporting,time_period,obs_value,occupation_short
INFORMATION AND COMMUNICATIONS TECHNOLOGY SERVICE MANAGERS,PERCENTAGE,AT,AUSTRIA,2019-Q4,2.5,ICT SERVICE MANAGERS
INFORMATION AND COMMUNICATIONS TECHNOLOGY SERVICE MANAGERS,PERCENTAGE,AT,AUSTRIA,2020-Q1,2.5,ICT SERVICE MANAGERS
INFORMATION AND COMMUNICATIONS TECHNOLOGY SERVICE MANAGERS,PERCENTAGE,AT,AUSTRIA,2020-Q2,2.4,ICT SERVICE MANAGERS
INFORMATION AND COMMUNICATIONS TECHNOLOGY SERVICE MANAGERS,PERCENTAGE,AT,AUSTRIA,2020-Q3,2.2,ICT SERVICE MANAGERS
INFORMATION AND COMMUNICATIONS TECHNOLOGY SERVICE MANAGERS,PERCENTAGE,AT,AUSTRIA,2020-Q4,2.2,ICT SERVICE MANAGERS
INFORMATION AND COMMUNICATIONS TECHNOLOGY SERVICE MANAGERS,PERCENTAGE,AT,AUSTRIA,2021-Q1,2.0,ICT SERVICE MANAGERS
INFORMATION AND COMMUNICATIONS TECHNOLOGY SERVICE MANAGERS,PERCENTAGE,AT,AUSTRIA,2021-Q2,2.0,ICT SERVICE MANAGERS
INFORMATION AND COMMUNICATIONS TECHNOLOGY SERVICE MANAGERS,PERCENTAGE,AT,AUSTRIA,2021-Q3,2.0,ICT SERVICE MANAGERS
INFORMATION AND COMMUNICATIONS TECHNOLOGY SERVICE MANAGERS,PERCENTAGE,AT,AUSTRIA,2021-Q4,1.9,ICT SERVICE MANAGERS
INFORMATION AND COMMUNICATIONS TECHNOLOGY SERVICE MANAGERS,PERCENTAGE,AT,AUSTRIA,2022-Q1,2.1,ICT SERVICE MANAGERS
INFORMATION AND COMMUNICATIONS TECHNOLOGY SERVICE MANAGERS,PERCENTAGE,AT,AUSTRIA,2022-Q2,2.2,ICT SERVICE MANAGERS
INFORMATION AND COMMUNICATIONS TECHNOLOGY SERVICE MANAGERS,PERCENTAGE,AT,AUSTRIA,2022-Q3,2.3,ICT SERVICE MANAGERS
INFORMATION AND COMMUNICATIONS TECHNOLOGY SERVICE MANAGERS,PERCENTAGE,AT,AUSTRIA,2022-Q4,2.4,ICT SERVICE MANAGERS
INFORMATION AND COMMUNICATIONS TECHNOLOGY SERVICE MANAGERS,PERCENTAGE,AT,AUSTRIA,2023-Q1,2.4,ICT SERVICE MANAGERS
INFORMATION AND COMMUNICATIONS TECHNOLOGY SERVICE MANAGERS,PERCENTAGE,AT,AUSTRIA,2023-Q2,2.3,ICT SERVICE MANAGERS
INFORMATION AND COMMUNICATIONS TECHNOLOGY SERVICE MANAGERS,PERCENTAGE,AT,AUSTRIA,2023-Q3,2.2,ICT SERVICE MANAGERS
INFORMATION AND COMMUNICATIONS TECHNOLOGY SERVICE MANAGERS,PERCENTAGE,AT,AUSTRIA,2023-Q4,2.1,ICT SERVICE MANAGERS
INFORMATION AND COMMUNICATIONS TECHNOLOGY SERVICE MANAGERS,PERCENTAGE,AT,AUSTRIA,2024-Q1,2.0,ICT SERVICE MANAGERS
INFORMATION AND COMMUNICATIONS TECHNOLOGY SERVICE MANAGERS,PERCENTAGE,AT,AUSTRIA,2024-Q2,2.0,ICT SERVICE MANAGERS
INFORMATION AND COMMUNICATIONS TECHNOLOGY SERVICE MANAGERS,PERCENTAGE,AT,AUSTRIA,2024-Q3,2.0,ICT SERVICE MANAGERS
INFORMATION AND COMMUNICATIONS TECHNOLOGY SERVICE MANAGERS,PERCENTAGE,AT,AUSTRIA,2024-Q4,1.9,ICT SERVICE MANAGERS
INFORMATION AND COMMUNICATIONS TECHNOLOGY SERVICE MANAGERS,PERCENTAGE,AT,AUSTRIA,2025-Q1,2.0,ICT SERVICE MANAGERS
INFORMATION AND COMMUNICATIONS TECHNOLOGY SERVICE MANAGERS,PERCENTAGE,AT,AUSTRIA,2025-Q2,2.1,ICT SERVICE MANAGERS
INFORMATION AND COMMUNICATIONS TECHNOLOGY SERVICE MANAGERS,PERCENTAGE,BE,BELGIUM,2019-Q4,5.6,ICT SERVICE MANAGERS
INFORMATION AND COMMUNICATIONS TECHNOLOGY SERVICE MANAGERS,PERCENTAGE,BE,BELGIUM,2020-Q1,5.5,ICT SERVICE MANAGERS
INFORMATION AND COMMUNICATIONS TECHNOLOGY SERVICE MANAGERS,PERCENTAGE,BE,BELGIUM,2020-Q2,5.0,ICT SERVICE MANAGERS
INFORMATION AND COMMUNICATIONS TECHNOLOGY SERVICE MANAGERS,PERCENTAGE,BE,BELGIUM,2020-Q3,4.6,ICT SERVICE MANAGERS
INFORMATION AND COMMUNICATIONS TECHNOLOGY SERVICE MANAGERS,PERCENTAGE,BE,BELGIUM,2020-Q4,4.1,ICT SERVICE MANAGERS
INFORMATION AND COMMUNICATIONS TECHNOLOGY SERVICE MANAGERS,PERCENTAGE,BE,BELGIUM,2021-Q1,3.7,ICT SERVICE MANAGERS
INFORMATION AND COMMUNICATIONS TECHNOLOGY SERVICE MANAGERS,PERCENTAGE,BE,BELGIUM,2021-Q2,4.0,ICT SERVICE MANAGERS
INFORMATION AND COMMUNICATIONS TECHNOLOGY SERVICE MANAGERS,PERCENTAGE,BE,BELGIUM,2021-Q3,4.1,ICT SERVICE MANAGERS
INFORMATION AND COMMUNICATIONS TECHNOLOGY SERVICE MANAGERS,PERCENTAGE,BE,BELGIUM,2021-Q4,4.0,ICT SERVICE MANAGERS
INFORMATION AND COMMUNICATIONS TECHNOLOGY SERVICE MANAGERS,PERCENTAGE,BE,BELGIUM,2022-Q1,3.9,ICT SERVICE MANAGERS
INFORMATION AND COMMUNICATIONS TECHNOLOGY SERVICE MANAGERS,PERCENTAGE,BE,BELGIUM,2022-Q2,3.8,ICT SERVICE MANAGERS
INFORMATION AND COMMUNICATIONS TECHNOLOGY SERVICE MANAGERS,PERCENTAGE,BE,BELGIUM,2022-Q3,3.7,ICT SERVICE MANAGERS
INFORMATION AND COMMUNICATIONS TECHNOLOGY SERVICE MANAGERS,PERCENTAGE,BE,BELGIUM,2022-Q4,3.8,ICT SERVICE MANAGERS
INFORMATION AND COMMUNICATIONS TECHNOLOGY SERVICE MANAGERS,PERCENTAGE,BE,BELGIUM,2023-Q1,4.0,ICT SERVICE MANAGERS
INFORMATION AND COMMUNICATIONS TECHNOLOGY SERVICE MANAGERS,PERCENTAGE,BE,BELGIUM,2023-Q2,4.0,ICT SERVICE MANAGERS
INFORMATION AND COMMUNICATIONS TECHNOLOGY SERVICE MANAGERS,PERCENTAGE,BE,BELGIUM,2023-Q3,4.0,ICT SERVICE MANAGERS
INFORMATION AND COMMUNICATIONS TECHNOLOGY SERVICE MANAGERS,PERCENTAGE,BE,BELGIUM,2023-Q4,3.9,ICT SERVICE MANAGERS
INFORMATION AND COMMUNICATIONS TECHNOLOGY SERVICE MANAGERS,PERCENTAGE,BE,BELGIUM,2024-Q1,3.6,ICT SERVICE MANAGERS
INFORMATION AND COMMUNICATIONS TECHNOLOGY SERVICE MANAGERS,PERCENTAGE,BE,BELGIUM,2024-Q2,3.5,ICT SERVICE MANAGERS
INFORMATION AND COMMUNICATIONS TECHNOLOGY SERVICE MANAGERS,PERCENTAGE,BE,BELGIUM,2024-Q3,3.2,ICT SERVICE MANAGERS
INFORMATION AND COMMUNICATIONS TECHNOLOGY SERVICE MANAGERS,PERCENTAGE,BE,BELGIUM,2024-Q4,3.1,ICT SERVICE MANAGERS
INFORMATION AND COMMUNICATIONS TECHNOLOGY SERVICE MANAGERS,PERCENTAGE,BE,BELGIUM,2025-Q1,3.2,ICT SERVICE MANAGERS
INFORMATION AND COMMUNICATIONS TECHNOLOGY SERVICE MANAGERS,PERCENTAGE,BE,BELGIUM,2025-Q2,3.1,ICT SERVICE MANAGERS
INFORMATION AND COMMUNICATIONS TECHNOLOGY SERVICE MANAGERS,PERCENTAGE,BG,BULGARIA,2019-Q4,3.4,ICT SERVICE MANAGERS
INFORMATION AND COMMUNICATIONS TECHNOLOGY SERVICE MANAGERS,PERCENTAGE,BG,BULGARIA,2020-Q1,3.3,ICT SERVICE MANAGERS
INFORMATION AND COMMUNICATIONS TECHNOLOGY SERVICE MANAGERS,PERCENTAGE,BG,BULGARIA,2020-Q2,2.9,ICT SERVICE MANAGERS
INFORMATION AND COMMUNICATIONS TECHNOLOGY SERVICE MANAGERS,PERCENTAGE,BG,BULGARIA,2020-Q3,2.5,ICT SERVICE MANAGERS
INFORMATION AND COMMUNICATIONS TECHNOLOGY SERVICE MANAGERS,PERCENTAGE,BG,BULGARIA,2020-Q4,2.5,ICT SERVICE MANAGERS
INFORMATION AND COMMUNICATIONS TECHNOLOGY SERVICE MANAGERS,PERCENTAGE,BG,BULGARIA,2021-Q1,3.0,ICT SERVICE MANAGERS
INFORMATION AND COMMUNICATIONS TECHNOLOGY SERVICE MANAGERS,PERCENTAGE,BG,BULGARIA,2021-Q2,3.7,ICT SERVICE MANAGERS
INFORMATION AND COMMUNICATIONS TECHNOLOGY SERVICE MANAGERS,PERCENTAGE,BG,BULGARIA,2021-Q3,3.9,ICT SERVICE MANAGERS
INFORMATION AND COMMUNICATIONS TECHNOLOGY SERVICE MANAGERS,PERCENTAGE,BG,BULGARIA,2021-Q4,4.0,ICT SERVICE MANAGERS
INFORMATION AND COMMUNICATIONS TECHNOLOGY SERVICE MANAGERS,PERCENTAGE,BG,BULGARIA,2022-Q1,3.8,ICT SERVICE MANAGERS
INFORMATION AND COMMUNICATIONS TECHNOLOGY SERVICE MANAGERS,PERCENTAGE,BG,BULGARIA,2022-Q2,4.3,ICT SERVICE MANAGERS
INFORMATION AND COMMUNICATIONS TECHNOLOGY SERVICE MANAGERS,PERCENTAGE,BG,BULGARIA,2022-Q3,4.9,ICT SERVICE MANAGERS
INFORMATION AND COMMUNICATIONS TECHNOLOGY SERVICE MANAGERS,PERCENTAGE,BG,BULGARIA,2022-Q4,5.3,ICT SERVICE MANAGERS
INFORMATION AND COMMUNICATIONS TECHNOLOGY SERVICE MANAGERS,PERCENTAGE,BG,BULGARIA,2023-Q1,5.8,ICT SERVICE MANAGERS
INFORMATION AND COMMUNICATIONS TECHNOLOGY SERVICE MANAGERS,PERCENTAGE,BG,BULGARIA,2023-Q2,5.5,ICT SERVICE MANAGERS
INFORMATION AND COMMUNICATIONS TECHNOLOGY SERVICE MANAGERS,PERCENTAGE,BG,BULGARIA,2023-Q3,5.7,ICT SERVICE MANAGERS
INFORMATION AND COMMUNICATIONS TECHNOLOGY SERVICE MANAGERS,PERCENTAGE,BG,BULGARIA,2023-Q4,6.0,ICT SERVICE MANAGERS
INFORMATION AND COMMUNICATIONS TECHNOLOGY SERVICE MANAGERS,PERCENTAGE,BG,BULGARIA,2024-Q1,5.9,ICT SERVICE MANAGERS
INFORMATION AND COMMUNICATIONS TECHNOLOGY SERVICE MANAGERS,PERCENTAGE,BG,BULGARIA,2024-Q2,5.3,ICT SERVICE MANAGERS
INFORMATION AND COMMUNICATIONS TECHNOLOGY SERVICE MANAGERS,PERCENTAGE,BG,BULGARIA,2024-Q3,4.7,ICT SERVICE MANAGERS
INFORMATION AND COMMUNICATIONS TECHNOLOGY SERVICE MANAGERS,PERCENTAGE,BG,BULGARIA,2024-Q4,2.9,ICT SERVICE MANAGERS
INFORMATION AND COMMUNICATIONS TECHNOLOGY SERVICE MANAGERS,PERCENTAGE,BG,BULGARIA,2025-Q1,2.2,ICT SERVICE MANAGERS
INFORMATION AND COMMUNICATIONS TECHNOLOGY SERVICE MANAGERS,PERCENTAGE,BG,BULGARIA,2025-Q2,2.1,ICT SERVICE MANAGERS
INFORMATION AND COMMUNICATIONS TECHNOLOGY SERVICE MANAGERS,PERCENTAGE,CH,SWITZERLAND,2023-Q4,2.1,ICT SERVICE MANAGERS
INFORMATION AND COMMUNICATIONS TECHNOLOGY SERVICE MANAGERS,PERCENTAGE,CH,SWITZERLAND,2024-Q1,2.0,ICT SERVICE MANAGERS
INFORMATION AND COMMUNICATIONS TECHNOLOGY SERVICE MANAGERS,PERCENTAGE,CH,SWITZERLAND,2024-Q2,2.0,ICT SERVICE MANAGERS
INFORMATION AND COMMUNICATIONS TECHNOLOGY SERVICE MANAGERS,PERCENTAGE,CH,SWITZERLAND,2024-Q3,2.0,ICT SERVICE MANAGERS
INFORMATION AND COMMUNICATIONS TECHNOLOGY SERVICE MANAGERS,PERCENTAGE,CH,SWITZERLAND,2024-Q4,2.0,ICT SERVICE MANAGERS
INFORMATION AND COMMUNICATIONS TECHNOLOGY SERVICE MANAGERS,PERCENTAGE,CH,SWITZERLAND,2025-Q1,2.0,ICT SERVICE MANAGERS
INFORMATION AND COMMUNICATIONS TECHNOLOGY SERVICE MANAGERS,PERCENTAGE,CH,SWITZERLAND,2025-Q2,2.0,ICT SERVICE MANAGERS
