STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,unit,Unit of measure,isced11,International Standard Classification of Education (ISCED 2011),geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:ISOC_SKS_ITSPE(1.0),Employed ICT specialists by educational attainment level,A,Annual,PC,Percentage,ED0-4,"Less than primary, primary, secondary and post-secondary non-tertiary education (levels 0-4)",AT,Austria,2004,,63.2,,be,"break in time series, estimated",,
dataflow,ESTAT:ISOC_SKS_ITSPE(1.0),Employed ICT specialists by educational attainment level,A,Annual,PC,Percentage,ED0-4,"Less than primary, primary, secondary and post-secondary non-tertiary education (levels 0-4)",AT,Austria,2005,,66.0,,be,"break in time series, estimated",,
dataflow,ESTAT:ISOC_SKS_ITSPE(1.0),Employed ICT specialists by educational attainment level,A,Annual,PC,Percentage,ED0-4,"Less than primary, primary, secondary and post-secondary non-tertiary education (levels 0-4)",AT,Austria,2006,,64.9,,be,"break in time series, estimated",,
dataflow,ESTAT:ISOC_SKS_ITSPE(1.0),Employed ICT specialists by educational attainment level,A,Annual,PC,Percentage,ED0-4,"Less than primary, primary, secondary and post-secondary non-tertiary education (levels 0-4)",AT,Austria,2007,,63.4,,be,"break in time series, estimated",,
dataflow,ESTAT:ISOC_SKS_ITSPE(1.0),Employed ICT specialists by educational attainment level,A,Annual,PC,Percentage,ED0-4,"Less than primary, primary, secondary and post-secondary non-tertiary education (levels 0-4)",AT,Austria,2008,,67.1,,e,estimated,,
dataflow,ESTAT:ISOC_SKS_ITSPE(1.0),Employed ICT specialists by educational attainment level,A,Annual,PC,Percentage,ED0-4,"Less than primary, primary, secondary and post-secondary non-tertiary education (levels 0-4)",AT,Austria,2009,,59.7,,e,estimated,,
dataflow,ESTAT:ISOC_SKS_ITSPE(1.0),Employed ICT specialists by educational attainment level,A,Annual,PC,Percentage,ED0-4,"Less than primary, primary, secondary and post-secondary non-tertiary education (levels 0-4)",AT,Austria,2010,,62.2,,e,estimated,,
dataflow,ESTAT:ISOC_SKS_ITSPE(1.0),Employed ICT specialists by educational attainment level,A,Annual,PC,Percentage,ED0-4,"Less than primary, primary, secondary and post-secondary non-tertiary education (levels 0-4)",AT,Austria,2011,,68.2,,b,break in time series,,
dataflow,ESTAT:ISOC_SKS_ITSPE(1.0),Employed ICT specialists by educational attainment level,A,Annual,PC,Percentage,ED0-4,"Less than primary, primary, secondary and post-secondary non-tertiary education (levels 0-4)",AT,Austria,2012,,67.6,,,,,
dataflow,ESTAT:ISOC_SKS_ITSPE(1.0),Employed ICT specialists by educational attainment level,A,Annual,PC,Percentage,ED0-4,"Less than primary, primary, secondary and post-secondary non-tertiary education (levels 0-4)",AT,Austria,2013,,66.3,,,,,
dataflow,ESTAT:ISOC_SKS_ITSPE(1.0),Employed ICT specialists by educational attainment level,A,Annual,PC,Percentage,ED0-4,"Less than primary, primary, secondary and post-secondary non-tertiary education (levels 0-4)",AT,Austria,2014,,40.8,,b,break in time series,,
dataflow,ESTAT:ISOC_SKS_ITSPE(1.0),Employed ICT specialists by educational attainment level,A,Annual,PC,Percentage,ED0-4,"Less than primary, primary, secondary and post-secondary non-tertiary education (levels 0-4)",AT,Austria,2015,,42.2,,e,estimated,,
dataflow,ESTAT:ISOC_SKS_ITSPE(1.0),Employed ICT specialists by educational attainment level,A,Annual,PC,Percentage,ED0-4,"Less than primary, primary, secondary and post-secondary non-tertiary education (levels 0-4)",AT,Austria,2016,,38.2,,e,estimated,,
dataflow,ESTAT:ISOC_SKS_ITSPE(1.0),Employed ICT specialists by educational attainment level,A,Annual,PC,Percentage,ED0-4,"Less than primary, primary, secondary and post-secondary non-tertiary education (levels 0-4)",AT,Austria,2017,,36.8,,e,estimated,,
dataflow,ESTAT:ISOC_SKS_ITSPE(1.0),Employed ICT specialists by educational attainment level,A,Annual,PC,Percentage,ED0-4,"Less than primary, primary, secondary and post-secondary non-tertiary education (levels 0-4)",AT,Austria,2018,,37.5,,,,,
dataflow,ESTAT:ISOC_SKS_ITSPE(1.0),Employed ICT specialists by educational attainment level,A,Annual,PC,Percentage,ED0-4,"Less than primary, primary, secondary and post-secondary non-tertiary education (levels 0-4)",AT,Austria,2019,,36.0,,,,,
dataflow,ESTAT:ISOC_SKS_ITSPE(1.0),Employed ICT specialists by educational attainment level,A,Annual,PC,Percentage,ED0-4,"Less than primary, primary, secondary and post-secondary non-tertiary education (levels 0-4)",AT,Austria,2020,,37.8,,,,,
dataflow,ESTAT:ISOC_SKS_ITSPE(1.0),Employed ICT specialists by educational attainment level,A,Annual,PC,Percentage,ED0-4,"Less than primary, primary, secondary and post-secondary non-tertiary education (levels 0-4)",AT,Austria,2021,,36.6,,b,break in time series,,
dataflow,ESTAT:ISOC_SKS_ITSPE(1.0),Employed ICT specialists by educational attainment level,A,Annual,PC,Percentage,ED0-4,"Less than primary, primary, secondary and post-secondary non-tertiary education (levels 0-4)",AT,Austria,2022,,32.8,,,,,
dataflow,ESTAT:ISOC_SKS_ITSPE(1.0),Employed ICT specialists by educational attainment level,A,Annual,PC,Percentage,ED0-4,"Less than primary, primary, secondary and post-secondary non-tertiary education (levels 0-4)",AT,Austria,2023,,33.4,,,,,
dataflow,ESTAT:ISOC_SKS_ITSPE(1.0),Employed ICT specialists by educational attainment level,A,Annual,PC,Percentage,ED0-4,"Less than primary, primary, secondary and post-secondary non-tertiary education (levels 0-4)",AT,Austria,2024,,34.4,,,,,
dataflow,ESTAT:ISOC_SKS_ITSPE(1.0),Employed ICT specialists by educational attainment level,A,Annual,PC,Percentage,ED0-4,"Less than primary, primary, secondary and post-secondary non-tertiary education (levels 0-4)",BA,Bosnia and Herzegovina,2021,,49.2,,be,"break in time series, estimated",,
dataflow,ESTAT:ISOC_SKS_ITSPE(1.0),Employed ICT specialists by educational attainment level,A,Annual,PC,Percentage,ED0-4,"Less than primary, primary, secondary and post-secondary non-tertiary education (levels 0-4)",BA,Bosnia and Herzegovina,2022,,41.9,,e,estimated,,
dataflow,ESTAT:ISOC_SKS_ITSPE(1.0),Employed ICT specialists by educational attainment level,A,Annual,PC,Percentage,ED0-4,"Less than primary, primary, secondary and post-secondary non-tertiary education (levels 0-4)",BA,Bosnia and Herzegovina,2023,,45.8,,e,estimated,,
dataflow,ESTAT:ISOC_SKS_ITSPE(1.0),Employed ICT specialists by educational attainment level,A,Annual,PC,Percentage,ED0-4,"Less than primary, primary, secondary and post-secondary non-tertiary education (levels 0-4)",BA,Bosnia and Herzegovina,2024,,45.7,,e,estimated,,
dataflow,ESTAT:ISOC_SKS_ITSPE(1.0),Employed ICT specialists by educational attainment level,A,Annual,PC,Percentage,ED0-4,"Less than primary, primary, secondary and post-secondary non-tertiary education (levels 0-4)",BE,Belgium,2004,,29.8,,e,estimated,,
dataflow,ESTAT:ISOC_SKS_ITSPE(1.0),Employed ICT specialists by educational attainment level,A,Annual,PC,Percentage,ED0-4,"Less than primary, primary, secondary and post-secondary non-tertiary education (levels 0-4)",BE,Belgium,2005,,32.9,,be,"break in time series, estimated",,
dataflow,ESTAT:ISOC_SKS_ITSPE(1.0),Employed ICT specialists by educational attainment level,A,Annual,PC,Percentage,ED0-4,"Less than primary, primary, secondary and post-secondary non-tertiary education (levels 0-4)",BE,Belgium,2006,,34.8,,e,estimated,,
dataflow,ESTAT:ISOC_SKS_ITSPE(1.0),Employed ICT specialists by educational attainment level,A,Annual,PC,Percentage,ED0-4,"Less than primary, primary, secondary and post-secondary non-tertiary education (levels 0-4)",BE,Belgium,2007,,37.3,,e,estimated,,
dataflow,ESTAT:ISOC_SKS_ITSPE(1.0),Employed ICT specialists by educational attainment level,A,Annual,PC,Percentage,ED0-4,"Less than primary, primary, secondary and post-secondary non-tertiary education (levels 0-4)",BE,Belgium,2008,,38.9,,be,"break in time series, estimated",,
dataflow,ESTAT:ISOC_SKS_ITSPE(1.0),Employed ICT specialists by educational attainment level,A,Annual,PC,Percentage,ED0-4,"Less than primary, primary, secondary and post-secondary non-tertiary education (levels 0-4)",BE,Belgium,2009,,36.2,,e,estimated,,
dataflow,ESTAT:ISOC_SKS_ITSPE(1.0),Employed ICT specialists by educational attainment level,A,Annual,PC,Percentage,ED0-4,"Less than primary, primary, secondary and post-secondary non-tertiary education (levels 0-4)",BE,Belgium,2010,,34.2,,e,estimated,,
dataflow,ESTAT:ISOC_SKS_ITSPE(1.0),Employed ICT specialists by educational attainment level,A,Annual,PC,Percentage,ED0-4,"Less than primary, primary, secondary and post-secondary non-tertiary education (levels 0-4)",BE,Belgium,2011,,30.3,,be,"break in time series, estimated",,
dataflow,ESTAT:ISOC_SKS_ITSPE(1.0),Employed ICT specialists by educational attainment level,A,Annual,PC,Percentage,ED0-4,"Less than primary, primary, secondary and post-secondary non-tertiary education (levels 0-4)",BE,Belgium,2012,,29.9,,,,,
dataflow,ESTAT:ISOC_SKS_ITSPE(1.0),Employed ICT specialists by educational attainment level,A,Annual,PC,Percentage,ED0-4,"Less than primary, primary, secondary and post-secondary non-tertiary education (levels 0-4)",BE,Belgium,2013,,27.0,,,,,
dataflow,ESTAT:ISOC_SKS_ITSPE(1.0),Employed ICT specialists by educational attainment level,A,Annual,PC,Percentage,ED0-4,"Less than primary, primary, secondary and post-secondary non-tertiary education (levels 0-4)",BE,Belgium,2014,,24.6,,be,"break in time series, estimated",,
dataflow,ESTAT:ISOC_SKS_ITSPE(1.0),Employed ICT specialists by educational attainment level,A,Annual,PC,Percentage,ED0-4,"Less than primary, primary, secondary and post-secondary non-tertiary education (levels 0-4)",BE,Belgium,2015,,23.8,,,,,
dataflow,ESTAT:ISOC_SKS_ITSPE(1.0),Employed ICT specialists by educational attainment level,A,Annual,PC,Percentage,ED0-4,"Less than primary, primary, secondary and post-secondary non-tertiary education (levels 0-4)",BE,Belgium,2016,,23.8,,,,,
dataflow,ESTAT:ISOC_SKS_ITSPE(1.0),Employed ICT specialists by educational attainment level,A,Annual,PC,Percentage,ED0-4,"Less than primary, primary, secondary and post-secondary non-tertiary education (levels 0-4)",BE,Belgium,2017,,22.7,,b,break in time series,,
dataflow,ESTAT:ISOC_SKS_ITSPE(1.0),Employed ICT specialists by educational attainment level,A,Annual,PC,Percentage,ED0-4,"Less than primary, primary, secondary and post-secondary non-tertiary education (levels 0-4)",BE,Belgium,2018,,23.1,,,,,
dataflow,ESTAT:ISOC_SKS_ITSPE(1.0),Employed ICT specialists by educational attainment level,A,Annual,PC,Percentage,ED0-4,"Less than primary, primary, secondary and post-secondary non-tertiary education (levels 0-4)",BE,Belgium,2019,,23.2,,,,,
