job_title,employment_type,experience_level,salary,salary_currency,company_location,salary_in_usd,employee_residence,company_size,work_year,remote_ratio
Data Engineer,Full-Time,Senior,210000,United States Dollar,United States,210000,United States,Medium,2023,
Data Engineer,Full-Time,Senior,165000,United States Dollar,United States,165000,United States,Medium,2023,
Data Engineer,Full-Time,Senior,185900,United States Dollar,United States,185900,United States,Medium,2023,
Data Engineer,Full-Time,Senior,129300,United States Dollar,United States,129300,United States,Medium,2023,
Data Scientist,Full-Time,Senior,140000,United States Dollar,United States,140000,United States,Medium,2023,
Data Scientist,Full-Time,Senior,126000,United States Dollar,United States,126000,United States,Medium,2023,
Data Scientist,Full-Time,Senior,170000,United States Dollar,United States,170000,United States,Medium,2023,
Data Scientist,Full-Time,Senior,130000,United States Dollar,United States,130000,United States,Medium,2023,
Data Engineer,Full-Time,Mid,85000,British Pound Sterling,United Kingdom,104584,United Kingdom,Medium,2023,
Data Engineer,Full-Time,Mid,75000,British Pound Sterling,United Kingdom,92280,United Kingdom,Medium,2023,
Analytics Engineer,Full-Time,Senior,208500,United States Dollar,United States,208500,United States,Medium,2023,
Analytics Engineer,Full-Time,Senior,165000,United States Dollar,United States,165000,United States,Medium,2023,
Data Engineer,Full-Time,Senior,72000,Euro,Germany,77737,Germany,Large,2023,
Data Engineer,Full-Time,Senior,80000,Euro,Sweden,86374,Germany,Large,2023,
Business Intelligence Developer,Full-Time,Senior,169000,United States Dollar,United States,169000,United States,Medium,2023,
Business Intelligence Developer,Full-Time,Senior,110600,United States Dollar,United States,110600,United States,Medium,2023,
Data Scientist,Full-Time,Senior,185900,United States Dollar,United States,185900,United States,Medium,2023,
Data Scientist,Full-Time,Senior,129300,United States Dollar,United States,129300,United States,Medium,2023,
Data Scientist,Full-Time,Senior,225000,United States Dollar,United States,225000,United States,Medium,2023,
Data Scientist,Full-Time,Senior,156400,United States Dollar,United States,156400,United States,Medium,2023,
Machine Learning Engineer,Full-Time,Senior,309000,United States Dollar,United States,309000,United States,Medium,2023,
Machine Learning Engineer,Full-Time,Senior,142000,United States Dollar,United States,142000,United States,Medium,2023,
Data Analyst,Full-Time,Senior,204500,United States Dollar,United States,204500,United States,Medium,2023,
Data Analyst,Full-Time,Senior,138900,United States Dollar,United States,138900,United States,Medium,2023,
Machine Learning Engineer,Full-Time,Senior,323300,United States Dollar,United States,323300,United States,Medium,2023,
Machine Learning Engineer,Full-Time,Senior,184700,United States Dollar,United States,184700,United States,Medium,2023,
Machine Learning Engineer,Full-Time,Senior,247500,United States Dollar,United States,247500,United States,Medium,2023,
Machine Learning Engineer,Full-Time,Senior,172200,United States Dollar,United States,172200,United States,Medium,2023,
Decision Scientist,Full-Time,Senior,204500,United States Dollar,United States,204500,United States,Medium,2023,
Decision Scientist,Full-Time,Senior,142200,United States Dollar,United States,142200,United States,Medium,2023,
Machine Learning Software Engineer,Full-Time,Mid,2000000,Indian Rupee,India,24322,India,Large,2023,
BI Developer,Full-Time,Senior,135000,United States Dollar,United States,135000,United States,Medium,2023,
BI Developer,Full-Time,Senior,110000,United States Dollar,United States,110000,United States,Medium,2023,
Machine Learning Scientist,Full-Time,Senior,180514,United States Dollar,United Kingdom,180514,United Kingdom,Medium,2023,
Machine Learning Scientist,Full-Time,Senior,108308,United States Dollar,United Kingdom,108308,United Kingdom,Medium,2023,
BI Analyst,Full-Time,Senior,118800,United States Dollar,United States,118800,United States,Medium,2023,
BI Analyst,Full-Time,Senior,75000,United States Dollar,United States,75000,United States,Medium,2023,
Data Manager,Full-Time,Senior,145000,United States Dollar,United States,145000,United States,Medium,2023,
Data Manager,Full-Time,Senior,130000,United States Dollar,United States,130000,United States,Medium,2023,
Data Engineer,Full-Time,Senior,180514,United States Dollar,United Kingdom,180514,United Kingdom,Medium,2023,
Data Engineer,Full-Time,Senior,108308,United States Dollar,United Kingdom,108308,United Kingdom,Medium,2023,
Machine Learning Engineer,Full-Time,Senior,193600,United States Dollar,United States,193600,United States,Medium,2023,
Machine Learning Engineer,Full-Time,Senior,119700,United States Dollar,United States,119700,United States,Medium,2023,
BI Analyst,Full-Time,Senior,130800,United States Dollar,United States,130800,United States,Medium,2023,
BI Analyst,Full-Time,Senior,87200,United States Dollar,United States,87200,United States,Medium,2023,
Data Engineer,Full-Time,Senior,215000,United States Dollar,United States,215000,United States,Medium,2023,
Data Engineer,Full-Time,Senior,150000,United States Dollar,United States,150000,United States,Medium,2023,
Business Intelligence Engineer,Full-Time,Executive,247500,United States Dollar,United States,247500,United States,Medium,2023,
Business Intelligence Engineer,Full-Time,Executive,172200,United States Dollar,United States,172200,United States,Medium,2023,
Data Scientist,Full-Time,Mid,50000,British Pound Sterling,United Kingdom,61520,United Kingdom,Medium,2023,
Data Scientist,Full-Time,Mid,40000,British Pound Sterling,United Kingdom,49216,United Kingdom,Medium,2023,
Machine Learning Engineer,Full-Time,Senior,204500,United States Dollar,United States,204500,United States,Medium,2023,
Machine Learning Engineer,Full-Time,Senior,142200,United States Dollar,United States,142200,United States,Medium,2023,
Data Analyst,Full-Time,Senior,169000,United States Dollar,United States,169000,United States,Medium,2023,
Data Analyst,Full-Time,Senior,110600,United States Dollar,United States,110600,United States,Medium,2023,
ML Engineer,Full-Time,Senior,238000,United States Dollar,United States,238000,United States,Medium,2023,
ML Engineer,Full-Time,Senior,173000,United States Dollar,United States,173000,United States,Medium,2023,
Business Intelligence Engineer,Full-Time,Senior,225000,United States Dollar,United States,225000,United States,Medium,2023,
Business Intelligence Engineer,Full-Time,Senior,156400,United States Dollar,United States,156400,United States,Medium,2023,
Data Engineer,Full-Time,Executive,205785,United States Dollar,United Kingdom,205785,United Kingdom,Medium,2023,
Data Engineer,Full-Time,Executive,123471,United States Dollar,United Kingdom,123471,United Kingdom,Medium,2023,
Data Science Manager,Full-Time,Senior,299500,United States Dollar,United States,299500,United States,Medium,2023,
Data Science Manager,Full-Time,Senior,245100,United States Dollar,United States,245100,United States,Medium,2023,
Data Scientist,Full-Time,Senior,153600,United States Dollar,United States,153600,United States,Medium,2023,
Data Scientist,Full-Time,Senior,106800,United States Dollar,United States,106800,United States,Medium,2023,
AI Programmer,Full-Time,Entry,40000,United States Dollar,"Korea, Republic of",40000,"Korea, Republic of",Small,2023,
Data Scientist,Full-Time,Senior,66000,Euro,Spain,71259,Spain,Medium,2023,
Data Scientist,Full-Time,Mid,125000,United States Dollar,United States,125000,United States,Medium,2023,
Data Scientist,Full-Time,Mid,90000,United States Dollar,United States,90000,United States,Medium,2023,
ML Engineer,Full-Time,Senior,290000,United States Dollar,United States,290000,United States,Medium,2023,
ML Engineer,Full-Time,Senior,226000,United States Dollar,United States,226000,United States,Medium,2023,
Applied Scientist,Full-Time,Senior,222200,United States Dollar,United States,222200,United States,Large,2023,
Applied Scientist,Full-Time,Senior,136000,United States Dollar,United States,136000,United States,Large,2023,
Data Scientist,Full-Time,Senior,161000,United States Dollar,United States,161000,United States,Medium,2023,
Data Scientist,Full-Time,Senior,151000,United States Dollar,United States,151000,United States,Medium,2023,
Data Analyst,Full-Time,Senior,49200,Euro,Estonia,53120,Estonia,Medium,2023,
Data Analyst,Full-Time,Senior,36000,Euro,Estonia,38868,Estonia,Medium,2023,
Data Engineer,Full-Time,Senior,136994,United States Dollar,United States,136994,United States,Medium,2023,
Data Engineer,Full-Time,Senior,101570,United States Dollar,United States,101570,United States,Medium,2023,
Data Scientist,Full-Time,Senior,214500,United States Dollar,United States,214500,United States,Medium,2023,
Data Scientist,Full-Time,Senior,150000,United States Dollar,United States,150000,United States,Medium,2023,
Analytics Engineer,Full-Time,Senior,150000,United States Dollar,United States,150000,United States,Medium,2023,
Analytics Engineer,Full-Time,Senior,120000,United States Dollar,United States,120000,United States,Medium,2023,
Data Engineer,Full-Time,Senior,278300,United States Dollar,United States,278300,United States,Medium,2023,
Data Engineer,Full-Time,Senior,205700,United States Dollar,United States,205700,United States,Medium,2023,
Applied Scientist,Full-Time,Senior,185900,United States Dollar,United States,185900,United States,Medium,2023,
Applied Scientist,Full-Time,Senior,167310,United States Dollar,United States,167310,United States,Medium,2023,
Data Engineer,Full-Time,Mid,114000,United States Dollar,United States,114000,United States,Medium,2023,
Data Engineer,Full-Time,Mid,100000,United States Dollar,United States,100000,United States,Medium,2023,
Applied Scientist,Full-Time,Senior,260000,United States Dollar,United States,260000,United States,Large,2023,
Data Engineer,Full-Time,Senior,162000,United States Dollar,United States,162000,United States,Medium,2023,
Data Engineer,Full-Time,Senior,111000,United States Dollar,United States,111000,United States,Medium,2023,
Data Engineer,Full-Time,Senior,225500,United States Dollar,United States,225500,United States,Medium,2023,
Data Engineer,Full-Time,Senior,139400,United States Dollar,United States,139400,United States,Medium,2023,
Data Analytics Manager,Full-Time,Mid,177000,United States Dollar,United States,177000,United States,Medium,2023,
Data Analytics Manager,Full-Time,Mid,110000,United States Dollar,United States,110000,United States,Medium,2023,
Data Analyst,Full-Time,Senior,120350,United States Dollar,United States,120350,United States,Medium,2023,
Data Analyst,Full-Time,Senior,74400,United States Dollar,United States,74400,United States,Medium,2023,
Data Engineer,Full-Time,Senior,194000,United States Dollar,United States,194000,United States,Medium,2023,
Data Engineer,Full-Time,Senior,161000,United States Dollar,United States,161000,United States,Medium,2023,
Research Engineer,Full-Time,Entry,30000,Euro,France,32390,France,Medium,2023,
Machine Learning Engineer,Full-Time,Senior,184950,United States Dollar,United States,184950,United States,Medium,2023,
Machine Learning Engineer,Full-Time,Senior,119250,United States Dollar,United States,119250,United States,Medium,2023,
Data Engineer,Full-Time,Senior,178500,United States Dollar,United States,178500,United States,Medium,2023,
Data Engineer,Full-Time,Senior,136000,United States Dollar,United States,136000,United States,Medium,2023,
Machine Learning Engineer,Full-Time,Senior,189000,United States Dollar,United States,189000,United States,Medium,2023,
Machine Learning Engineer,Full-Time,Senior,159090,United States Dollar,United States,159090,United States,Medium,2023,
Data Engineer,Full-Time,Mid,91000,United States Dollar,United States,91000,United States,Medium,2023,
Data Engineer,Full-Time,Mid,82000,United States Dollar,United States,82000,United States,Medium,2023,
Data Engineer,Full-Time,Senior,149076,United States Dollar,United States,149076,United States,Medium,2023,
Data Engineer,Full-Time,Senior,82365,United States Dollar,United States,82365,United States,Medium,2023,
Applied Scientist,Full-Time,Senior,192000,United States Dollar,United States,192000,United States,Medium,2023,
Applied Scientist,Full-Time,Senior,164000,United States Dollar,United States,164000,United States,Medium,2023,
Data Scientist,Full-Time,Senior,175000,United States Dollar,United States,175000,United States,Medium,2023,
Data Scientist,Full-Time,Senior,125000,United States Dollar,United States,125000,United States,Medium,2023,
Data Engineer,Full-Time,Senior,194595,United States Dollar,United States,194595,United States,Medium,2023,
Data Engineer,Full-Time,Senior,158000,United States Dollar,United States,158000,United States,Medium,2023,
Data Engineer,Full-Time,Senior,240500,United States Dollar,United States,240500,United States,Large,2023,
Data Engineer,Full-Time,Senior,123700,United States Dollar,United States,123700,United States,Large,2023,
Data Scientist,Full-Time,Senior,212800,United States Dollar,United States,212800,United States,Large,2023,
Data Scientist,Full-Time,Senior,111600,United States Dollar,United States,111600,United States,Large,2023,
Research Engineer,Full-Time,Mid,257400,United States Dollar,United States,257400,United States,Medium,2023,
Research Engineer,Full-Time,Mid,193500,United States Dollar,United States,193500,United States,Medium,2023,
ML Engineer,Full-Time,Senior,305000,United States Dollar,United States,305000,United States,Medium,2023,
ML Engineer,Full-Time,Senior,245000,United States Dollar,United States,245000,United States,Medium,2023,
Data Scientist,Full-Time,Senior,205485,United States Dollar,United States,205485,United States,Medium,2023,
Data Scientist,Full-Time,Senior,156560,United States Dollar,United States,156560,United States,Medium,2023,
Data Analyst,Full-Time,Senior,168000,United States Dollar,United States,168000,United States,Large,2023,
Data Analyst,Full-Time,Senior,78400,United States Dollar,United States,78400,United States,Large,2023,
Machine Learning Engineer,Full-Time,Senior,260000,United States Dollar,United States,260000,United States,Medium,2023,
Machine Learning Engineer,Full-Time,Senior,175000,United States Dollar,United States,175000,United States,Medium,2023,
Data Engineer,Full-Time,Executive,130002,United States Dollar,United States,130002,United States,Medium,2023,
Data Engineer,Full-Time,Executive,71908,United States Dollar,United States,71908,United States,Medium,2023,
Data Analyst,Full-Time,Senior,212000,United States Dollar,United States,212000,United States,Medium,2023,
Data Analyst,Full-Time,Senior,132000,United States Dollar,United States,132000,United States,Medium,2023,
